150965|16-in-1 Super Card|16-in-1 Super Card||,Compilation|||||
155374|1993 Collection 128-in-1|1993 Collection 128-in-1|||||||
109177|2nd Space|2nd Space||Action,Puzzle,|1||Sachen|Sachen|1993
46492A|3 Choume No Tama - Tama And Friends - 3 Choume Obake Panic!!|3 Choume no Tama - Tama and Friends - 3 Choume Oba||,Adventure|||Tom Create|B.I.|1994
46493A|3-pun Yosou - Umaban Club|3-pun Yosou - Umaban Club||Horses race,Sports with Animals,|||HECT|HECT|1992
46495A|4-in-1 Fun Pak|4-in-1 Fun Pak|4-in-1 Funpak|Various,Board game,|2||Beam Software Pty., Ltd.|Interplay Productions, Inc.|1992
59620A|4-in-1 Fun Pak Volume 2|4-in-1 Fun Pak Volume II||Various,Board game,|2||Beam Software|Interplay|1992
3197AA|A Boy And His Blob - Rescue Of Princess Blobette|A Boy and his Blob : Rescue of Princess Blobette||Puzzle-Game,Platform,|||Absolute Entertainment|Imagineering Inc|1989
109044|A-force|A-force||,Shooter|1||Sachen||1993
3494AA|Amazing Tater|A-mazing Tater||Puzzle-Game,Strategy,|1||Atlus Co., Ltd.|Atlus Software Inc.|1991
59623A|Aa Harimanada|Aa Harimanada|Ah Harimanada|Sports,Action,|||SEGA Enterprises Ltd.|SEGA Enterprises Ltd.|1993
3125AA|Adventure Island|Adventure Island||Action,Platform,|1||Hudson Soft Company, Ltd.|Hudson Soft Company, Ltd.|1986
3254AA|Adventure Island 2|Adventure Island II: Aliens in Paradise||Action,|1||Hudson|Hudson|1993
3304AA|Adventures Of Lolo|Adventures of Lolo||Puzzle-Game,Strategy,Action,|1||HAL Laboratory, Inc.|HAL America Inc.|1995
176727|Adventures of Rocky and Bullwinkle, The|Adventures of Rocky and Bullwinkle, The||,Platform|||||
59625A|Aerostar|Aerostar|Aero Star|Shoot'em Up,Action,|1||Sigma Pro-Tech|Vic Tokai, Inc.|1991
3597AA|After Burst|After Burst||Action|1||Dual Corporation|Masaya|1990
88768A|Akazukin Chacha|Akazukin Chacha|Akazukin Cha Cha|Adventure,|1||Access Games|Tomy Corporation|1995
3025AA|Aladdin|Aladdin||Puzzle-Game,|1||Virgin|Virgin|1995
59723A|Alfred Chicken|Alfred Chicken||Action,Plateform / Run Jump Scrolling,Platform,|1||Twilight|Mindscape, Inc.|1993
59724A|Alien 3|Alien 3||Action,Adventure|1||Bits Studios|LJN Ltd.|1992
59725A|Alien Olympics|Alien Olympics|Alien Olympics 2044 AD|Sports,Action,|2||Dark Technologies|Ocean Software Ltd.|1994
3165AA|Alien Vs Predator - The Last Of His Clan|Alien vs Predator : The Last of His Clan||Action|1||Ask|Activision|1993
59626A|All-star Baseball 99|All-Star Baseball 99|All-Star Baseball '99|Sports,|1||Iguana Entertainment, Inc.|Acclaim Entertainment, Inc.|1998
3200AA|Alleyway|Alleyway||Action,Breakout|1||Intelligent Systems Co., Ltd.|Nintendo Co., Ltd.|1989
59726A|Altered Space - A 3-d Alien Adventure|Altered Space - A 3-D Alien Adventure|Altered Space|Puzzle-Game,|1||Software Creations|Sony|1991
3425AA|Amazing Penguin|Amazing Penguin||Action,Arcade|1||Natsume Co., Ltd.|Natsume, Inc.|1990
59727A|America Oudan Ultra Quiz|America Oudan Ultra Quiz||Quiz,|||Tomy Corporation|Tomy Corporation|1990
59728A|America Oudan Ultra Quiz Part 2|America Oudan Ultra Quiz Part 2||Quiz,|1||Tomy Corporation|Tomy Corporation|1991
59729A|America Oudan Ultra Quiz Part 3 - Champion Taikai|America Oudan Ultra Quiz Part 3 - Champion Taikai||Quiz,|1||Tomy Corporation|Tomy Corporation|1992
59730A|America Oudan Ultra Quiz Part 4|America Oudan Ultra Quiz Part 4||Quiz,|1||Tomy Corporation|Tomy Corporation|1993
3507AA|Amida|Amida||Puzzle-Game,Action,|1||Coconuts Japan|Coconuts Japan Entertainment Co., Ltd.|1990
59731A|Animal Breeder|Animal Breeder|Animal Breeder 2|Strategy,|||J-Wing|J-Wing|1997
59732A|Animal Breeder 2|Animal Breeder 2||Strategy,|||J-Wing|J-Wing|1998
59733A|Animaniacs|Animaniacs||Action,Puzzle|1||Factor 5 GmbH|Konami (America), Inc.|1995
3506AA|Another Bible|Another Bible|Another Bible (J) [S][T+Fre(final)_GIX]|Role playing games,|1||Dice Co., Ltd.|Atlus Co., Ltd.|1995
