3869AA|007 - Nightfire|007 : Nightfire||Sports,Shooter / 1st person,Shooter,|2||JV Games|Electronic Arts|2003
3949AA|007 - Everything Or Nothing|007 : Everything or Nothing||Shooter / 3rd person,Shooter,|2||Griptonite Games|Electronic Arts|2003
83011A|2 Disney Games - Disney Sports - Football + Disney Sports - Skateboarding|2 Disney Games - Disney Sports - Football + Disney|||||||
83012A|2 Disney Games - Lilo And Stitch 2 + Peter Pan - Return To Neverland|2 Disney Games - Lilo & Stitch 2 + Peter Pan - Ret|||||||
83013A|2 Game Pack! - Hot Wheels - Stunt Track Challenge + Hot Wheels - World Race|2 Game Pack! - Hot Wheels - Stunt Track Challenge |||||||
83014A|2 Game Pack! - Matchbox Missions - Emergency Response And Air, Land And Sea Rescue|2 Game Pack! : Matchbox Missions, Emergency Response + Air, Land and S|||||||
83017A|2 Game Pack! - Uno + Skip-bo|2 Game Pack! : Uno + Skip-Bo|||||||
83020A|2 Games In 1 - Bionicle + Knights' Kingdom|2 Games in 1 - Bionicle + Knights' Kingdom|||||||
83021A|2 Games In 1 - Brother Bear + The Lion King|2 Games in 1 - Brother Bear + The Lion King|||||||
83026A|2 Games In 1 - Columns Crown + Chuchu Rocket!|2 Games in 1 - Columns Crown + ChuChu Rocket!|||||||
83033A|2 Games In 1 - Disney Princess + Lizzie Mcguire|2 Games in 1 - Disney Princess + Lizzie McGuire|||||||
83044A|2 Games In 1 - Finding Nemo + Finding Nemo - The Continuing Adventures|2 Games in 1 - Finding Nemo + Finding Nemo - The C|||||||
83045A|2 Games In 1 - Finding Nemo + The Incredibles|2 Games in 1 - Finding Nemo + The Incredibles|||||||
83049A|2 Games In 1 - Hot Wheels - Velocity X + Hot Wheels - World Race|2 Games in 1 - Hot Wheels - Velocity X + Hot Wheel|||||||
83056A|2 Games In 1 - Moto Gp + Gt Advance 3 - Pro Concept Racing|2 Games in 1 - Moto GP + GT Advance 3 - Pro Concep|||||||
83058A|2 Games In 1 - Power Rangers - Ninja Storm + Power Rangers - Time Force|2 Games in 1 - Power Rangers - Ninja Storm + Power|||||||
83061A|2 Games In 1 - Rugrats - Go Wild + Spongebob Squarepants - Supersponge|2 Games in 1 - Rugrats - Go Wild + SpongeBob Squar|||||||
83065A|2 Games In 1 - Scooby-doo! - Mystery Mayhem + Scooby-doo And The Cyber Chase|2 Games in 1 - Scooby-Doo! - Mystery Mayhem + Scoo|||||||
83066A|2 Games In 1 - Sonic Advance + Chuchu Rocket!|2 Games in 1 - Sonic Advance + ChuChu Rocket!|||||||
83067A|2 Games In 1 - Sonic Advance + Sonic Battle|2 Games in 1 - Sonic Advance + Sonic Battle|||||||
83068A|2 Games In 1 - Sonic Advance + Sonic Pinball Party|2 Games in 1 - Sonic Advance + Sonic Pinball Party|||||||
83069A|2 Games In 1 - Sonic Battle + Chuchu Rocket!|2 Games in 1 - Sonic Battle + ChuChu Rocket!|||||||
83070A|2 Games In 1 - Sonic Battle + Sonic Pinball Party|2 Games in 1 - Sonic Battle + Sonic Pinball Party|||||||
83071A|2 Games In 1 - Sonic Pinball Party + Columns Crown|2 Games in 1 - Sonic Pinball Party + Columns Crown|||||||
83073A|2 Games In 1 - Spongebob Squarepants - Battle For Bikini Bottom + Jimmy Neutron Boy Genius|2 Games in 1 - SpongeBob SquarePants - Battle for |||||||
83076A|2 Games In 1 - Spongebob Squarepants - Revenge Of The Flying Dutchman + Spongebob Squarepants - Supersponge|2 Games in 1 - SpongeBob SquarePants - Revenge of |||||||
83077A|2 Games In 1 - Spongebob Squarepants - Supersponge + Spongebob Squarepants - Battle For Bikini Bottom|2 Games in 1 - SpongeBob SquarePants - SuperSponge|||||||
83078A|2 Games In 1 - The Lion King + Disney Princess|2 Games in 1 - The Lion King + Disney Princess|||||||
83079A|2 Games In 1 - The Spongebob Squarepants Movie + Spongebob Squarepants And Friends In Freeze Frame Frenzy|2 Games in 1 - The SpongeBob SquarePants Movie + S|||||||
83024A|2 Games In 1 - Cartoon Network Block Party + Cartoon Network Speedway|2 Games in 1 : Cartoon Network Block Party + Cartoon Network Speedway|||||||
83034A|2 Games In 1 - Disney Princesse + Frere Des Ours|2 Games in 1 - Disney Princesse + Frere des Ours|||||||
83035A|2 Games In 1 - Disney Princesse + Le Roi Lion|2 Games in 1 - Disney Princesse + Le Roi Lion|||||||
83041A|2 Games In 1 - Dragon Ball Z - The Legacy Of Goku I And 2|2 Games in 1 : Dragon Ball Z, The Legacy of Goku I & II|||||||
83046A|2 Games In 1 - Finding Nemo - The Continuing Adventures + The Incredibles|2 Games in 1 : Finding Nemo, The Continuing Adventures + The Incredibl|||||||
83047A|2 Games In 1 - Golden Nugget Casino + Texas Hold 'em Poker|2 Games in 1 : Golden Nugget Casino + Texas Hold 'em Poker|||||||
83050A|2 Games In 1 - Les Razmoket Rencontrent Les Delajungle + Spongebob Squarepants - Supersponge|2 Games in 1 - Les Razmoket Rencontrent les Delaju|||||||
83052A|2 Games In 1 - Monsters En Co. + Finding Nemo|2 Games in 1 - Monsters en Co. + Finding Nemo|||||||
83057A|2 Games In 1 - Power Rangers - Ninja Storm + Power Rangers - La Force Du Temps|2 Games in 1 - Power Rangers - Ninja Storm + Power|||||||
