58770A|Alien Vs Predator|Alien vs Predator||Action,FPS,|1||Rebellion Developments|Atari|1993
14215A|Apb|APB|APB - All Points Bulletin|Race, Driving,|1||Tengen|QuickSilver|1991
14243A|Awesome Golf|Awesome Golf||Sports,|4||Hand Made Software, Ltd|Atari|1991
14254A|Baseball Heroes|Baseball Heroes||Sports,|2||Atari|Atari|1992
14253A|Basketbrawl|Basketbrawl||Beat'em Up,Sports,|2|Coop|Atari|Atari|1992
14212A|Batman Returns|Batman Returns||Action,Beat'em Up,|1||Atari|Atari|1992
14268A|Battle Wheels|Battle Wheels||Race, Driving,|6||Atari|Beyond Games|1993
14255A|Battlezone 2000|BattleZone 2000||Action,Shooter,|4||Hand Made Software, Ltd|Atari|1994
14248A|Bill And Ted's Excellent Adventure|Bill & Ted's Excellent Adventure||Adventure,|2||Atari|Atari|1991
14232A|Block Out|Block Out||Puzzle-Game,|1||LDW Inc.|Atari|1990
14213A|Blue Lightning|Blue Lightning||Simulation,|1||Epyx|Atari|1989
14233A|Bubble Trouble|Bubble Trouble||Action,Platformer,Adventure,|1||Lore Design Limited|Telegames|1991
14218A|California Games|California Games||Sports,|2||Epyx|Atari|1989
58771A|Centipede|Centipede||Lightgun Shooter,|1||Shadowsoft|Never Published (Prototype)|1987
14238A|Checkered Flag|Checkered Flag||Race, Driving,Sports,|6||Atari|Atari|1991
14222A|Chip's Challenge|Chip's Challenge||Puzzle-Game,Strategy,|1||Epyx|Atari|1989
141576|Circle Tunnel|Circle Tunnel||Demo,|||||
141577|Clicks!|Clicks!||Puzzle,|1||Matthias Domin||2001
108859|Conquest Of Zow|Conquest Of Zow||Shooter,|1||||1996
14267A|Crystal Mines 2 - Buried Treasure|Crystal Mines II : Buried Treasure||Puzzle-Game,Puzzle-Game,|1||Songbird Productions|Color Dreams|1990
58773A|Daemonsgate|Daemonsgate||Role-Playing,|1||Imagitec|Never Published (Prototype)|1
14211A|Desert Strike - Return To The Gulf|Desert Strike : Return to the Gulf||Action,Shooter,|1||Telegames|Teque Software|1992
14270A|Dinolympics|Dinolympics||Puzzle-Game,Strategy,|1||Imagitec Design|Atari|1992
