5441AA|1080 - Teneighty Snowboarding|1080 TenEighty Snowboarding||Sports,Sports / Skiing,|2||Nintendo EAD|Nintendo of America Inc.|1998
59525A|64 De Hakken!! Tamagotchi - Minna De Tamagotchi World|64 De Hakken!! Tamagotchi - Minna De Tamagotchi World|64 de Hakken!! Tamagotchi Minna de Tamagotchi World|Simulation,|4||Bandai|Bandai|1997
59526A|64 Hanafuda - Tenshi No Yakusoku|64 Hanafuda - Tenshi No Yakusoku||Hanafuda,Asiatic board game,|2||Altron|Altron|1999
59527A|64 Oozumou|64 Oozumou|64 Oozumou 2|Sports,Sports / Sumo,|2||Bottom Up |Bottom Up|1997
59528A|64 Oozumou 2|64 Oozumou 2||Sports,Sports / Sumo,|2||Bottom Up|Bottom Up|1999
59529A|64 Trump Collection - Alice No Wakuwaku Trump World|64 Trump Collection - Alice No Wakuwaku Trump World||Casino / Cards,Casino,|4||Bottom Up|Bottom Up|1998
5511AA|A Bug's Life|A Bug's Life|Bug's Life, A|Platform,Action,|1||Travellers Tales (UK) Ltd.|Activision|1999
5548AA|Aero Fighters Assault|Aerofighter Assault|AeroFighters Assault|Action,Shooter / Plane,Shooter,|2||Nintendo|Nintendo|1997
5597AA|Aerogauge|AeroGauge||Race, Driving,|2||Locomotive Games|ASCII Entertainment Software, Inc.|1997
59503A|Ai Shougi 3|Ai Shougi 3||Shougi,Asiatic board game,|2||ASCII Entertainment|ASCII Entertainment|1998
5534AA|Aidyn Chronicles - The First Mage|Aidyn Chronicles : The First Mage||Role playing games,|1||H2O|THQ|2001
5596AA|Air Boarder 64|Air Boarder 64|Airboarder 64|Race, Driving,Sports,|2||Agetec|Agetec|1998
5656AA|All-star Baseball 2000|All-Star Baseball 2000||Sports,Sports / Baseball,|4|Coop|Acclaim Entertainment|Acclaim Entertainment|1999
5673AA|All-star Baseball 2001|All-Star Baseball 2001||Sports,Sports / Baseball,|4|Coop|High Voltage|Acclaim Entertainment|2000
5699AA|All-star Baseball 99|All-Star Baseball 99|All-Star Baseball '99|Sports / Baseball,Sports,|4|Coop|Acclaim Entertainment|Acclaim Entertainment|1998
59770A|Doubutsu No Mori|Animal Forest||Role playing games,|1||Nintendo|Nintendo|2001
5546AA|Armorines - Project S.w.a.r.m.|Armorines - Project S.W.A.R.M.||Action,Shooter / 1st person,Shooter,|4||Acclaim Entertainment|Acclaim Entertainment|1999
5538AA|Army Men - Sarge's Heroes|Army Men - Sarge's Heroes|Army Men - Sarge's Heroes 2|Shoot'em Up,Shooter / Run and Shoot,Shooter,|4||Panasonic|Panasonic|1999
5621AA|Army Men - Air Combat|Army Men : Air Combat||Strategy,Shooter / Plane,Shoot'em Up,Shooter,|4||Panasonic|Panasonic|2000
5554AA|Army Men - Sarge's Heroes 2|Army Men : Sarge's Heroes 2||Shoot'em Up,Shooter / Run and Shoot,Shooter,|4||Panasonic|Panasonic|2000
5671AA|Asteroids Hyper 64|Asteroids Hyper 64||Shoot'em Up,Action,|2|Coop|Crave Entertainment|Crave Entertainment|1999
5549AA|Automobili Lamborghini|Automobili Lamborghini||Race, Driving,|4||Titus|Titus|1997
59549A|Bakushou Jinsei 64 - Mezase! Resort Ou|Bakushou Jinsei 64 - Mezase! Resort Ou||Asiatic board game,|4||Taito|Taito|1998
5652AA|Bangai-o|Bangai-o|Bakuretsu Muteki Bangai-O|Action,Shoot'em Up,|1||ESP Software|Treasure|1999
5405AA|Banjo-kazooie|Banjo-Kazooie||Action,Action / Adventure,Platform,|1||Rare|Nintendo - Rare|1998
5411AA|Banjo-Tooie|Banjo-Tooie||Simulation,Action,Platform,Action / Adventure,|4||Rareware|Nintendo - Rare|2000
59550A|Bass Rush|Bass Rush|Bass Rush - ECOGEAR PowerWorm Championship|Hunting and Fishing,Fishing,|1||Visco Corporation|Visco Corporation|2000
5677AA|Bassmasters 2000|Bassmasters 2000||Simulation,Hunting and Fishing,Fishing,|2||Mass Media|THQ|1999
71667A|Batman Beyond - Return Of The Joker|Batman Beyond : Return of the Joker||Fight,Action,Beat'em Up,|1||Kemco|Ubisoft|2000
5665AA|Battletanx|BattleTanx||Shoot'em Up,Action,|4||3DO|Panasonic|1998
5575AA|Battletanx - Global Assault|BattleTanx - Global Assault||Shoot'em Up,Action,|4||Panasonic|Panasonic|1999
5640AA|Battlezone - Rise Of The Black Dogs|Battlezone : Rise of the Black Dogs||Strategy,|4||Crave Entertainment|Climax|2000
5477AA|Beetle Adventure Racing!|Beetle Adventure Racing!||Race, Driving,|4||Electronic Arts|Electronic Arts|1999
5680AA|Big Mountain 2000|Big Mountain 2000||Action,Sports,Sports / Skiing,|2||Imagineer|Southpeak Interactive|1998
5600AA|Bio F.r.e.a.k.s.|Bio F.R.E.A.K.S.||Fight,|2||Saffire|Midway|1998
5523AA|Blast Corps|Blast Corps||Race, Driving,Action,Puzzle-Game,|1||Rareware|Nintendo|1997
5601AA|Blues Brothers 2000|Blues Brothers 2000||Action,Platform,Music and Dance,|2||Player 1|Titus|2000
5478AA|Body Harvest|Body Harvest||Simulation,Shooter / 3rd person,Shooter,Action,Action / Adventure,|1||Gremlin|Rockstar North|1998
5449AA|Bomberman 64|Bomberman 64|Bomberman 64 - Arcade Edition|Action,Action / Adventure,Platform,|4||Racjin|Nintendo|1997
113419|Bomberman 64 - Arcade Edition|Bomberman 64 - Arcade Edition||Puzzle-Game,Action,|4||Racjin|Hudson|2001
5516AA|Baku Bomberman 2|Bomberman 64 : The Second Attack!||Puzzle-Game,Action,|4||Hudson|Nintendo|1999
5519AA|Bomberman Hero|Bomberman Hero||Action,Platform,|1||Hudson|Hudson|1998
5694AA|Bottom Of The 9th|Bottom of the 9th||Sports,Sports / Baseball,|2||Konami|Konami|1999
5706AA|Brunswick Circuit Pro Bowling|Brunswick Circuit Pro Bowling||Sports,Sports / Bowling,|4||Point of View|THQ|1998
5525AA|Buck Bumble|Buck Bumble||Puzzle-Game,Adventure,Action,Shooter,|2||Ubisoft|Argonaut Games|1998
5580AA|Bust-a-move 2 - Arcade Edition|Bust-A-Move 2: Arcade Edition||Puzzle-Game,Action,|2||Probe|Acclaim Entertainment|1998
5626AA|Bust-a-move 3 Dx|Bust-A-Move '99||Puzzle-Game,Strategy,|4|Coop|Taito|Acclaim Entertainment|1998
5689AA|California Speed|California Speed||Adventure,Race, Driving,|2||Atari|Atari - Midway|1998
5487AA|Carmageddon 64|Carmageddon 64||Race, Driving,|2||Software Creations|Titus|1999
5414AA|Castlevania|Castlevania||Adventure,Action,Action / Adventure,Platform,|1||Konami|Konami|1999
5428AA|Castlevania - Legacy Of Darkness|Castlevania : Legacy of Darkness||Action,Action / Adventure,Platform,|1||Konami|Konami|1999
5558AA|Centre Court Tennis|Centre Court Tennis||Sports,Sports / Tennis,|4|Coop|Bigben Interactive|Hudson|1998
5512AA|Chameleon Twist|Chameleon Twist|Chameleon Twist 2|Action,Adventure,Platform,|4||Sunsoft|Japan System Supply|1997
5629AA|Chameleon Twist 2|Chameleon Twist 2||Action,Adventure,Platform,|1||Sunsoft|Japan System Supply|1998
5625AA|Charlie Blast's Territory|Charlie Blast's Territory||Puzzle-Game,Strategy,|4||Realtime Associates|Kemco|1999
5567AA|Chopper Attack|Chopper Attack||Race, Driving,Action,Shooter,Shooter / 3rd person,|1||SETA Corporation|Midway - Seta|1997
59763A|Choro Q 64 2 - Hacha Mecha Grand Prix Race|Choro Q 64 2 - Hacha Mecha Grand Prix Race||Race, Driving,|4||Locomotive Games|TAKARA Co., Ltd.|1999
59858A|Chou Kuukan Nighter Pro Yakyuu King|Chou Kuukan Nighter Pro Yakyuu King|Chou Kuukan Night Pro Yakyuu King 2|Sports,Sports / Baseball,|2||Genki|Genki - Imagineer|1996
59764A|Chou Kuukan Nighter Pro Yakyuu King 2|Chou Kuukan Nighter Pro Yakyuu King 2|Chou Kuukan Night Pro Yakyuu King 2|Sports,Sports / Baseball,|2||Genki|Genki - Imagineer|1999
5591AA|Clay Fighter - Sculptor's Cut|Clay Fighter : Sculptor's Cut||Fight,|2||Interplay|Interplay|1998
5522AA|Clay Fighters 63 1/3|Clay Fighters 63 1/3||Fight,|2||Interplay|Interplay|1997
5447AA|Command And Conquer|Command & Conquer||Strategy,|1||Nintendo|Westwood Studios|1999
5402AA|Conker's Bad Fur Day|Conker's Bad Fur Day||Action,Adventure|4||Rareware|Rare - THQ|2001
59512A|World Cup 98|World Cup 98|FIFA - Road to World Cup 98|Sports,|4|Coop|EA Sports|EA Sports|1998
5674AA|Cruis'n Exotica|Cruis'n Exotica||Race, Driving,|4||Midway|Gratuitous Games|2000
5537AA|Cruis'n Usa|Cruis'n USA||Race, Driving,|2||Midway|Nintendo|1996
5550AA|Cruis'n World|Cruis'n World||Race, Driving,|4||Eurocom|Eurocom - Midway - Nintendo|1998
5647AA|Custom Robo|Custom Robo||Role playing games,Action,|2||Noise Factory|Nintendo - Noise|1999
