99475A|Personal Nightmare|...A Personal Nightmare||Point and Click,Adventure,|1||Horror Soft Ltd.|Horror Soft Ltd.|1989
102084|Aesop's Fables - The Tortoise And The Hare|Aesop's Fables: The Tortoise and the Hare||Point and Click,Adventure,|1||Living Books|Broderbund|1992
100333|Amazon - Guardians Of Eden|Amazon - Guardians Of Eden||Point and Click,Adventure,|1||Access Games|Access Games|1992
102085|Arthur's Birthday|Arthur's Birthday||Point and Click,Adventure,|1||Living Books|Broderbund|1993
102086|Arthur's Teacher Trouble|Marc Brown's Arthur's Teacher Trouble||Point and Click,Adventure,|1||Brøderbund|Random House|1994
99480A|Backyard Baseball|Backyard Baseball||Point and Click,Adventure,|1||Humongous Entertainment|Humongous Entertainment|1997
99481A|Backyard Baseball 2001|Backyard Baseball 2001||Point and Click,Adventure,|1||Humongous Entertainment|Humongous Entertainment|2000
99482A|Backyard Baseball 2003|Backyard Baseball 2003||Point and Click,Adventure,|1||Humongous Entertainment|Infogrames|2002
99484A|Backyard Football|Backyard Football||Point and Click,Adventure,|1||Humongous Entertainment|Humongous Entertainment|1999
99485A|Backyard Football 2002|Backyard Football 2002||Point and Click,Adventure,|1||Humongous Entertainment|Infogrames|2001
99850A|Mixed-up Mother Goose|Mixed-Up Mother Goose||Point and Click,Adventure,|1||Sierra|Sierra|1987
99489A|Bargon Attack|Bargon Attack||Point and Click,Adventure,|1||Coktel Vision|Coktel Vision|1992
99497A|Bear Stormin'|Bear Stormin'||Point and Click,Adventure,|1||Humongous Entertainment|Humongous Entertainment|1993
155473|Beast Within - A Gabriel Knight Mystery, The|Beast Within - A Gabriel Knight Mystery, The||Point and Click,Adventure,|1||Sierra On-Line|Sierra On-Line|1995
100334|Beavis And Butt-head In Virtual Stupidity|Beavis And Butt-head In Virtual Stupidity||Adventure,|1||Viacom New Media|Viacom New Media|1995
99499A|Beneath A Steel Sky|Beneath a Steel Sky||Point and Click,Adventure,|1||Revolution Software|Virgin|1994
102095|Berenstain Bears Get in a Fight, The|The Berenstain Bears Get in a Fight||Point and Click,Adventure,|1||Living Books|Brøderbund Software, Inc.|1995
102096|Berenstain Bears in the Dark, The|Berenstain Bears in the Dark, The||Point and Click,Adventure,|1||Living Books|Brøderbund Software, Inc.|1996
100798|Big Thinkers First Grade|Big Thinkers!: 1st Grade||Educational,|1||Humongous Entertainment|Infogrames|2015
100799|Big Thinkers Kindergarten|Big Thinkers!: Kindergarten||Point and Click,Adventure,|1||Humongous Entertainment|Infogrames|1997
100018|Bizarre Adventures of Woodruff and the Schnibble, The|Bizarre Adventures of Woodruff and the Schnibble, The||Point and Click,Adventure,|1||Coktel Vision|Sierra On-Line, Inc.|1995
99906A|Black Cauldron, The|Black Cauldron, The||Point and Click,Adventure,|1||Sierra|Sierra|1986
100335|Blue Force|Blue Force||Point and Click,Adventure,|1||TSUNAMI|TSUNAMI MEDIA, INC.|1993
99503A|Blue's Clues - Blue's 123 Time Activities|Blue's Clues - Blue's 123 Time Activities||Educational,|1||Humongous Entertainment|Humongous Entertainment|
99504A|Blue's Clues - Blue's Abc Time Activities|Blue's Clues - Blue's Abc Time Activities||Point and Click,Adventure,|1||Humongous Entertainment|Humongous Entertainment|
99505A|Blue's Clues - Blue's Art Time Activities|Blue's Clues - Blue's Art Time Activities||Point and Click,Adventure,|1||Humongous Entertainment|Humongous Entertainment|
99506A|Blue's Clues - Blue's Birthday Adventure|Blue's Clues: Blue's Birthday Adventure||Point and Click,Adventure,|1||Humongous Entertainment|Humongous Entertainment|
99508A|Blue's Reading Time Activities|Blue's Reading Time Activities||Point and Click,Adventure,|1||Humongous Entertainment|Humongous Entertainment|2000
100964|Blue's Treasure Hunt|Blue's Treasure Hunt||Point and Click,Adventure,|1||Humongous Entertainment, Inc.|Humongous Entertainment, Inc.|1999
99521A|Bud Tucker In Double Trouble|Bud Tucker In Double Trouble||Point and Click,Adventure,|1||Merit Studios Limited|Topware Interactive|
99523A|Castle Of Dr. Brain|Castle of Dr. Brain||Point and Click,Adventure,|1||Sierra|Sierra|1991
100338|Chivalry Is Not Dead|Chivalry Is Not Dead||Point and Click,Adventure,|||||
99530A|Codename - Iceman|Codename - Iceman||Point and Click,Adventure,|1||Sierra|Sierra|1989
99532A|Conquests Of Camelot - The Search For The Grail|Conquests Of Camelot - The Search For The Grail||Point and Click,Adventure,|1||Sierra|Sierra|1989
99534A|Conquests Of The Longbow - The Legend Of Robin Hood|Conquests Of The Longbow - The Legend Of Robin Hood||Point and Click,Adventure,|1||Sierra|Sierra|1991
155476|Cranston Manor|Hi-Res Adventure #3: Cranston Manor||Adventure,|1||On-Line Systems|On-Line Systems|1981
99542A|Cruise For A Corpse|Cruise for a Corpse||Point and Click,Adventure,|1||Delphine Software International|U.S. Gold|1991
99907A|Curse of Monkey Island, The|Curse of Monkey Island, The||Point and Click,Adventure,|1||LucasArts|LucasArts|1997
101878|Darby The Dragon|Darby The Dragon||Point and Click,Adventure,|1|||Brøderbund|1996
155479|Dark Crystal, The|Hi-Res Adventure #6: The Dark Crystal||Adventure,|1||Sierra On-Line, Inc.|Sierra On-Line, Inc.|1983
