38563A|'96 Zenkoku Koukou Soccer Senshuken|'96 Zenkoku Koukou Soccer Senshuken|Zenkoku Koukou Soccer Senshuken '96|Sports,Sports / Soccer,|2||Magical Company|Magical Company|1996
2742AA|3 Ninjas Kick Back|3 Ninjas Kick Back||Platform,Action,Beat'em Up,|2|Coop|Malibu Interactive|Sony|1994
2773AA|3x3 Eyes - Juuma Houkan|3x3 Eyes - Juuma Houkan||Action,Adventure,|2||Banpresto|Banpresto|1995
2643AA|3x3 Eyes - Seima Kourinden|3x3 Eyes - Seima Kourinden||Role playing games,|2||Yutaka|Bandai|1992
38566A|4 Nin Shogi|4 Nin Shogi|4 Nin Shougi|Asiatic board game,Shougi,|4||Pow|Pow|1995
2433AA|Mystic Ark|7th Saga II||Role playing games,|1||Produce|Enix|1995
2678AA|90 Minutes - European Prime Goal|90 Minutes : European Prime Goal||Sports,|2||Ocean|Namco|1995
38568A|A3 S.v. - A Ressha De Ikou 3 - Super Version|A3 S.v. - A Ressha De Ikou 3 - Super Version||Simulation,|1||Artdink|Artdink|1995
2440AA|Aaahh!!! Real Monsters|Aaahh!!! Real Monsters||Platform,|1||Realtime Associates|Viacom|1995
18989A|Abc Monday Night Football|ABC Monday Night Football||Sports,Sports / Soccer,|2||Data East|Data East|1993
2777AA|Accele Brid|Accele Brid||Action,Shooter,|2||Tomy|Tomy|1993
2733AA|Ace Wo Nerae !|Ace Wo Nerae !|Ace wo Nerae!|Sports,|2||Telenet|Telenet|1993
18923A|Acme Animation Factory|ACME Animation Factory|The ACME Animation Factory|Educational,|2||Probe Software Ltd.|Sun Corporation of America|1994
18990A|Acrobat Mission|Acrobat Mission||Shoot'em Up,Action,|2||UPL Co., Ltd|Teichiku Co., LTD.|1992
38567A|Action Pachio|Action Pachio||Platform,|1||C-Lab|Coconuts Japan|1993
2212AA|Actraiser|ActRaiser|ActRaiser 2|Simulation,|1||Quintet|Enix|1990
2236AA|Actraiser 2|ActRaiser 2||Platform,Action,|1||Quintet|Enix|1993
2357AA|Addams Family - Pugsley's Scavenger Hunt, The|The Addams Family - Pugsley's Scavenger Hunt||Platform,Action,|1||Ocean|Ocean|1992
2359AA|Addams Family Values|Addams Family Values||Adventure,Action,|1||Ocean|Ocean|1995
2468AA|Advanced Dungeons And Dragons - Eye Of The Beholder|Advanced Dungeons & Dragons : Eye of the Beholder||Role playing games,|1||SSI|Westwood Studios|1994
2194AA|Adventures of Batman and Robin, The|The Adventures of Batman & Robin|Adventures of Batman & Robin, The|Beat'em Up,Platform,Action,|1||Konami|Konami|1994
18991A|Adventures of Dr. Franken, The|The Adventures of Dr. Franken||Platform,Action,|1||Motivetime Ltd.|DTMC, Inc.|1993
2525AA|Adventures of Mighty Max ,The|The Adventures of Mighty Max||Platform,Action,Adventure,|1|Coop|Ocean|Ocean|1994
2886AA|Adventures of Rocky and Bullwinkle and Friends, The|The Adventures of Rocky and Bullwinkle and Friends||Platform,|1||Imagineering Inc|THQ|1993
2443AA|Aero Fighters - Sonic Wings|Aero Fighters||Shoot'em Up,Action,|2|Coop|Video System|Video System|1993
2437AA|Aero The Acro-bat|Aero the Acro-Bat|Aero the Acro-Bat 2|Platform,Action,|1||Iguana Entertainment|Sunsoft|1993
2627AA|Aero The Acro-bat 2|Aero the Acro-Bat 2||Platform,Action,|1||Iguana Entertainment|Sunsoft|1994
2727AA|Aerobiz|Aerobiz||Simulation,|4|Coop|Koei|Koei|1992
2612AA|Aerobiz Supersonic|Aerobiz Supersonic||Simulation,|4|Coop|Koei|Koei|1993
18993A|Air Cavalry|Air Cavalry||Action,Shooter,|2|Coop|Synergistic Software, Inc.|Cybersoft, Inc.|1995
38575A|Akagawa Jirou Majo-tachi No Nemuri|Akagawa Jirou Majo-tachi No Nemuri||Adventure,|1||Minato Giken|Pack-In-Video|1995
38576A|Akazukin Chacha|Akazukin Chacha|Akazukin Cha Cha|Role playing games,|1||Landwarf|Tomy|1996
18994A|Al Unser Jr.'s Road To The Top|Al Unser Jr.'s Road to the Top|Al Unser Jr's Road to the Top|Race,Driving,|2|Coop|Radical Entertainment Inc.|Software Toolworks, Inc., The|1994
2170AA|Aladdin|Aladdin||Platform,|1||Capcom|Capcom|1993
2549AA|Albert Odyssey|Albert Odyssey|Albert Odyssey 2 - Jashin no Taidou|Role playing games,|2||Tokaï|Sunsoft|1993
2619AA|Albert Odyssey 2 - Jashin No Taidô|Albert Odyssey 2 - Jashin No Taidô||Role playing games,|1||Sunsoft|Sunsoft|1994
2425AA|Alcahest|Alcahest||Role playing games,|2||HAL Laboratory|Square Enix|1997
38578A|Alice No Paint Adventure|Alice No Paint Adventure||Educational,|1||SAS Sakata|Epoch|1995
2285AA|Alien 3|Alien 3||Platform,Action,|1||LJN|Probe|1993
2308AA|Alien Vs Predator|Alien Vs Predator|Alien vs. Predator|Beat'em Up,|2||Activision|Activision - IGS|1993
18995A|Amazing Spider-Man - Lethal Foes, The|Amazing Spider-Man - Lethal Foes, The||Platform,Action,|2||Argent|Epoch Co., Ltd.|Epoch Co., Ltd.
38579A|America Oudan Ultra Quiz|America Oudan Ultra Quiz||Quiz,|2||Genki|Tomy Corporation|1992
38580A|American Battle Dome|American Battle Dome||Pinball,|2||Tsukuda Original|Tsukuda Original|1995
2666AA|American Gladiators|American Gladiators||Sports,Simulation,|2|Coop|Imagitec Design|GameTek|1993
18996A|An American Tail - Fievel Goes West|An American Tail : Fievel Goes West||Action,Platform,|1||Shimada Kikaku|Hudson|1994
38609A|Ancient Magic - Bazoo! Mahou Sekai|Ancient Magic - Bazoo! Mahou Sekai||Role playing games,|1||Hot-b|Hot-b|1993
2584AA|Andre Agassi Tennis|Andre Agassi Tennis||Sports,|2||Tecmagik|Tecmagik|1993
2732AA|Angelique|Angelique||Role playing games,Strategy,Simulation,|1||Koei|Koei|1994
189690|Angelique Voice Fantasy|Angelique Voice Fantasy||Strategy,|1||Koei|Koei|1996
2394AA|Animaniacs|Animaniacs||Platform,Action,|1||Konami|Konami|1994
38582A|Aoki Densetsu Shoot!|Aoki Densetsu Shoot!||Sports,|4|Coop|KSS|Affect|1994
38583A|Apocalypse 2|Apocalypse 2||Shoot'em Up,|2||Psygnosis|Psygnosis|2015
2456AA|Appleseed|Appleseed||Platform,|1||Kan's|Visit|1994
2511AA|Arabian Nights - Sabaku no Seirei-o|Arabian Nights - Sabaku no Seirei-o|Arabian Nights - Sabaku no Seirei Ou|Role playing games,|1||Pandora Box|Takara|1996
38584A|Araiguma Rascal|Araiguma Rascal||Puzzle-Game,|2||NCS|Masaya|1994
18997A|Arcade's Greatest Hits - The Atari Collection 1|Arcade's Greatest Hits : The Atari Collection 1||Compilation,|2||Digital Eclipse|Midway|1997
2566AA|Arcana|Arcana||Role playing games,|1||Hal|HAL Laboratory|1992
2523AA|Archer Maclean's Super Dropzone|Archer Maclean's Super Dropzone|Archer MacLean's Dropzone|Shoot'em Up,|4||Eurocom|Psygnosis|1995
18998A|Arcus Odyssey|Arcus Odyssey||Role playing games,Action,|2||Wolf Team|Sammy Corporation|1993
2279AA|Ardy Lightfoot|Ardy Lightfoot||Platform,Action,Role playing games,|1||ASCII|Titus|1993
2798AA|Aretha|Aretha||Role playing games,|1||Yanoman Corporation|Japan Art Media|1993
2829AA|Aretha 2 - Ariel No Fushigi Na Tabi|Aretha 2 - Ariel No Fushigi Na Tabi||Role playing games,|1||Yanoman Corporation|Japan Art Media|1994
2603AA|Arkanoid - Doh It Again|Arkanoid : Doh It Again||Action,Breakout,|2|Coop|Taito|Taito|1997
19103A|Armored Police Metal Jack|Armored Police Metal Jack ||Beat'em Up,Action,|1||Atlus|Atlus|1992
2446AA|Art Of Fighting|Art of Fighting||Fight,Action,|2|Coop|SNK|Takara|1993
38586A|Asahi Shinbun Rensai - Katou Hifumi Kudan Shougi - Shingiryuu|Asahi Shinbun Rensai - Katou Hifumi Kudan Shougi - Shingiryuu|Asahi Shinbun Rensai - Katou Ichi-Ni-San Shougi - Shingiryuu|Asiatic board game,Shougi,|2||Varie|Varie|1995
38587A|Asameshimae Nyanko|Asameshimae Nyanko||Strategy,|2||Zamuse|Zamuse|1994
38588A|Ashita No Joe|Ashita No Joe||Fight,|2||K.Amusement Leasing Co.|Wave|1992
2195AA|Astérix|Astérix|Asterix|Platform,Action,|1||Infogrames|Infogrames|1993
2192AA|Astérix And Obélix|Astérix & Obélix||Platform,Action,|2|Coop|Infogrames|Infogrames|1995
18927A|Atlas - Renaissance Voyager, The|Atlas - Renaissance Voyager, The||Strategy,|1||Artdink|Pack-In-Video Co., Ltd|1995
2152AA|Axelay|Axelay||Shoot'em Up,Action,|1||Konami|Konami|1992
2384AA|B.o.b.|B.O.B.||Platform,Action,|1||Gray Matter|Electronic Arts|1993
136588|Baby T-rex|Baby T-rex||Action,Arcade,Platform,,|1||||1993
2206AA|Bahamut Lagoon|Bahamut Lagoon||Role playing games,Strategy,|1||Square Enix|Square Enix|1996
38591A|Bakukyuu Renpatsu!! Super B-daman|Bakukyuu Renpatsu!! Super B-daman||Action,Arcade,|2|Coop|Amble|Hudson|1997
19000A|Bakumatsu Kourinden - Oni|Bakumatsu Kourinden - Oni|Bakumatsu Kourinden Oni|Role playing games,|1||Pandora Box|Banpresto|1996
38593A|Bakutou Dochers|Bakutou Dochers|Bakuto Dochers|Action,Arcade|4|Coop|Genki|Bullet Proof Software|1994
38594A|Ball Bullet Gun|Ball Bullet Gun||Strategy,|2||I'Max|Betop - I'Max|1995
19001A|Ballz 3d - Fighting At Its Ballziest|Ballz 3D : Fighting at Its Ballziest||Fight,Action,|2|Coop|Accolade|Accolade|1994
38595A|Barbarossa|Barbarossa||Strategy,|1||Systemsoft|Sammy|1992
2751AA|Barbie - Super Model|Barbie Super Model||Action,Adventure,|1||Tahoe|Hi-Tech Expressions|1993
2853AA|Barbie - Vacation Adventure|Barbie Vacation Adventure||Various,|2||Software Creations|HiTech Creations|1994
2834AA|Barkley - Shut Up And Jam!|Barkley Shut Up and Jam!||Sports,|4|Coop|Accolade|Accolade|1994
2821AA|Bass Masters Classic|Bass Masters Classic||Hunting and Fishing,|1||Black Pearl Software|Malibu Games|1995
2712AA|Bass Masters Classic - Pro Edition|Bass Masters Classic : Pro Edition||Hunting and Fishing,|1||Black Pearl Software|Malibu Games|1996
2822AA|Bassin's Black Bass With Hank Parker|Bassin's Black Bass||Hunting and Fishing,|1||Starfish|Hot-b|1994
2578AA|Bastard!!|Bastard!!|Bastard!! - Ankoku no Hakai-shin|Fight,|2|Coop|Cobra Team|Cobra Team|1994
38596A|Batman|Batman||Action,Beat'em Up,|1||Software Creations|Software Creations|1999
2347AA|Batman - Revenge Of The Joker|Batman : Revenge of the Joker||Platform,Action,|1||Ringler Studios|Sunsoft|1991
2245AA|Batman Forever|Batman Forever||Beat'em Up,Action,|2|Coop|Probe|Acclaim Entertainment|1995
2213AA|Batman Returns|Batman Returns||Beat'em Up,Race,Driving,|1||Konami|Konami|1993
2792AA|Battle Blaze|Battle Blaze||Fight,Action,|2||Sammy|Sammy|1992
2856AA|Battle Cars|Battle Cars||Race,Driving,|2|Coop|Namco|Namco|1993
19002A|Battle Clash|Battle Clash||Lightgun Shooter,Action,|2||Intelligent Systems Co., Ltd.|Nintendo|1992
38597A|Battle Commander - Hachibushuu, Shura No Heihou|Battle Commander - Hachibushuu, Shura No Heihou|Battle Commander - Hachibushuu Shura no Heihou|Strategy,|1||Arc System Works|Banpresto|1991
38598A|Battle Cross|Battle Cross||Various,|5|Coop|A-Max|Imagineer|1994
38599A|Battle Dodge Ball - Toukyuu Daigekitotsu!|Battle Dodge Ball - Toukyuu Daigekitotsu!|Battle Dodgeball|Sports,|2||Banpresto|Banpresto|1991
2752AA|Battle Dodge Ball 2|Battle Dodge Ball 2||Sports,|2||Banpresto|Banpresto|1993
19003A|Battle Grand Prix|Battle Grand Prix||Race,Driving,|2|Coop|Naxat Soft|Hudson|1993
38600A|Battle Jockey|Battle Jockey||Sports with Animals,Horses race,|4|Coop|Nova Games Ltd.|Virgin|1994
38601A|Battle Master - Kyuukyoku No Senshi-tachi|Battle Master - Kyuukyoku No Senshi-tachi|Battle Master - Kyuukyoku no Senshitachi|Fight,|2||System Vision|SystemVision - Toshiba EMI|1993
38602A|Battle Pinball|Battle Pinball||Pinball,|1||Banpresto|Banpresto|1995
38603A|Battle Racers|Battle Racers||Race,Driving,|2||Banpresto|Banpresto|1995
38604A|Battle Robot Retsuden|Battle Robot Retsuden||Strategy,|1||Winky Soft|Banpresto|1995
38605A|Battle Soccer - Field No Hasha|Battle Soccer - Field No Hasha||Sports,|2||Pandora Box|Banpresto|1992
38606A|Battle Soccer 2|Battle Soccer 2||Sports,|2||Pandora Box|Banpresto|1994
38608A|Battle Submarine|Battle Submarine||Simulation,|1||Office Koukan|Pack-In-Video|1995
19005A|Battle Tycoon|Battle Tycoon||Fight,|2||Right Stuff Corp.|Right Stuff Corp.|1995
38607A|Battle Zeque Den|Battle Zeque Den||Beat'em Up,|1||Arsys|Asmik Ace Entertainment, Inc.|1994
2139AA|Battletoads And Double Dragon|Battletoads & Double Dragon||Beat'em Up,|2|Coop|Rareware|Rare - Tradewest|1993
2140AA|Battletoads In Battlemaniacs|Battletoads in Battlemaniacs||Beat'em Up,Action,|2|Coop|Rareware|Tradewest|1993
18928A|Bazooka Blitzkrieg|Bazooka Blitzkrieg||Lightgun Shooter,Action,|1||Bandai|Bandai|1992
2478AA|Beavis And Butt-head|Beavis and Butt-Head||Platform,|2|Coop|Realtime Associates|Viacom|1994
18929A|Bebe's Kids|Bebe's Kids||Beat'em Up,Action,|1||Radical Entertainment Inc.|Motown Software|1994
2744AA|Beethoven - The Ultimate Canine Caper!|Beethoven : The Ultimate Canine Caper!||Platform,|1||Riedel Software Productions, Inc.|Hi-Tech Expressions, Inc.|1993
38610A|Benkei Gaiden - Suna No Shou|Benkei Gaiden - Suna No Shou||Role playing games,|1||Sunsoft|Sunsoft|1992
2435AA|Best Of The Best - Championship Karate|Best of the Best : Championship Karate||Fight,Sports,|2||Loriciels|Electro Brain|1992
38611A|Best Shot Pro Golf|Best Shot Pro Golf||Sports,|1||ASCII Entertainment|ASCII Entertainment|1996
38612A|Big Ichigeki! Pachi-slot Daikouryaku|Big Ichigeki! Pachi-slot Daikouryaku|Big Ichigeki! Pachi-Slot Daikouryaku 2|Casino,|1||Syscom|Ask|1994
38613A|Big Ichigeki! Pachi-slot Daikouryaku 2 - Universal Collection|Big Ichigeki! Pachi-slot Daikouryaku 2 - Universal Collection|Big Ichigeki! Pachi-Slot Daikouryaku 2|Casino,|1||Syscom|Ask|1995
2590AA|Big Sky Trooper|Big Sky Trooper||Action,Shooter,Adventure,|1||JVC|LucasArts|1995
38614A|Bike Daisuki! Hashiriya Tamashii|Bike Daisuki! Hashiriya Tamashii||Race,Driving,|2||NCS|Masaya|1994
2385AA|Biker Mice From Mars|Biker Mice from Mars||Race,Driving,|2|Coop|Konami|Konami|1994
19006A|Bill Laimbeer's Combat Basketball|Bill Laimbeer's Combat Basketball||Sports,|2|Coop|Hudson|Hudson|1991
2930AA|Bill Walsh College Football|Bill Walsh College Football||Sports,|5|Coop|EA Sports|Visual Concepts|1993
38615A|Bing Bing! Bingo|Bing Bing! Bingo||Casino,|2||Copya System|KSS|1993
2758AA|Biometal|BioMetal|Bio Metal|Shoot'em Up,Action,|1||Athena|Activision|1993
38616A|Bishin Densetsu Zoku|Bishin Densetsu Zoku|Bishin Densetsu Zoku - The Legend of Bishin|Beat'em Up,|2||Magifact|Magifact|1993
38617A|Bishoujo Janshi Suchie-pai|Bishoujo Janshi Suchie-pai||Asiatic board game,|2||Jaleco|Jaleco|1993
38618A|Bishoujo Senshi Sailor Moon Super S - Zenin Sanka!! Shuyaku Soudatsusen|Bishoujo Senshi Sailor Moon Super S - Zenin Sanka!! Shuyaku Soudatsusen||Fight,|2||Monolith|Angel (Bandai)|1996
38619A|Bishoujo Wrestler Retsuden - Blizzard Yuki Rannyuu!!|Bishoujo Wrestler Retsuden - Blizzard Yuki Rannyuu!!||Fight,|1||KSS|KSS|1996
2329AA|Blackthorne|Blackthorne||Platform,Action,|1||Blizzard Entertainment|Interplay|1994
64767A|World Class Rugby|World Class Rugby|World Class Rugby 2 - Kokunai Gekitou Hen '93|Sports,|2||Denton Designs|Imagineer|1993
18931A|Blazeon - The Bio-cyborg Challenge|BlaZeon : The Bio-Cyborg Challenge|Blazeon|Shoot'em Up,|1||A.I Co., Ltd.|Atlus|1992
38620A|Block Kuzushi|Block Kuzushi||Action,Breakout,|2||OeRSTED|Pow|1995
38621A|Bobby's World|Bobby's World||Platform,|1||RSP|Hi-Tech|1994
38623A|Bomber Man B-daman|Bomber Man B-daman|Bomberman B-Daman|Action,Arcade|4||Al|Hudson|1996
2662AA|Bonkers|Bonkers||Platform,|1||Capcom|Capcom|1994
2459AA|Boogerman - A Pick And Flick Adventure|Boogerman : A Pick and Flick Adventure||Platform,Action,|1||Interplay|Interplay|1995
2741AA|Bounty Sword|Bounty Sword||Role playing games,Strategy,|1||Pioneer Productions|Pioneer Productions|1995
2683AA|Boxing Legends Of The Ring|Boxing Legends of the Ring||Sports,|1|Coop|Electro Brain|Sculptured Software|1993
2358AA|Brain Lord|Brain Lord||Role playing games,|1||Produce|Enix|1994
2345AA|Bram Stoker's Dracula|Bram Stoker's Dracula||Platform,Action,|1||Psygnosis|Sony|1993
2495AA|Brandish|Brandish|Brandish 2 - Expert|Role playing games,Action,|1||Koei|Koei|1994
2573AA|Brandish 2 - The Planet Buster|Brandish 2 - Expert||Role playing games,|1||Nihon Falcom|Koei|1995
2483AA|Brawl Brothers|Brawl Brothers||Beat'em Up,|2|Coop|Jaleco|Jaleco|1992
2838AA|Breakthru!|BreakThru!||Puzzle-Game,|2|Coop|Zoo Corporation|Spectrum Holobyte|1994
2217AA|Breath Of Fire|Breath of Fire||Role playing games,|1||Capcom|Square Enix|1993
2188AA|Breath Of Fire 2|Breath of Fire II||Role playing games,|1||Capcom|Capcom|1994
94369A|Brett Hull Hockey|Brett Hull Hockey|Brett Hull Hockey '95|Sports,Sports / Hockey,|1|Coop|Radical Entertainment Inc.|Accolade|1994
2885AA|Brett Hull Hockey 95|Brett Hull Hockey 95|Brett Hull Hockey '95|Sports,|2|Coop|Radical Entertainment|Accolade|1994
