007 - The Living Daylights (UK) (1987);0;Gun shooter;1987;0;11279;United Kingdom;;
007 - The Living Daylights (UK) (1987) [a1];0;Gun shooter;1987;0;11279;United Kingdom;;
007 - The Living Daylights (UK) (1987) [a1][t1];0;Gun shooter;1987;0;11279;United Kingdom;;
007 - The Living Daylights (UK) (1987) [f1][t1];0;Gun shooter;1987;0;11279;United Kingdom;;
007 - The Living Daylights (UK) (1987) [t1];0;Gun shooter;1987;0;11279;United Kingdom;;
007 - The Spy Who Loved Me (UK) (19xx);0;Action;????;0;26496;United Kingdom;;
007 - The Spy Who Loved Me (UK) (19xx) [a1];0;Action;????;0;26496;United Kingdom;;
1001 BC (F) (1986);0;Adventure;1986;0;11280;France;;
1001 BC (F) (1986) [a1];0;Adventure;1986;0;11280;France;;
10th Frame (UK) (1986);0;Bowling;1986;0;11281;United Kingdom;;
10th Frame (UK) (1986) [a1];0;Bowling;1986;0;11281;United Kingdom;;
12 Jeux Exceptionnels (F) (1987);0;Compilation;1987;0;11282;France;;
12 Lost Souls (UK) (1987);0;Adventure;1987;0;11283;United Kingdom;;
12 Lost Souls (UK) (1987) [a1];0;Adventure;1987;0;11283;United Kingdom;;
12 Lost Souls (UK) (1987) [a2];0;Adventure;1987;0;11283;United Kingdom;;
180 Darts (UK) (1986);0;Sports;1986;0;11284;United Kingdom;;
180 Darts (UK) (1986) [a1];0;Sports;1986;0;11284;United Kingdom;;
1815 (F) (19xx);0;Strategy;????;0;25231;France;;
1914 (F) (19xx);0;Aerial fighting;????;0;26498;France;;
1914 (F) (19xx) [a1];0;Aerial fighting;????;0;26498;France;;
1942 & Bedlam & Ikari Warriors & Street Machine;0;Compilation;????;0;26500;Unknown;;
1942 & Billy La Banlieue & Bombjack & Green Beret;0;Compilation;????;0;26499;Unknown;;
1942 & Commando & Kong Strikes Back & Space Harrier;0;Compilation;????;0;26501;Unknown;;
1942 (UK) (1986);0;Shooter;1986;0;11285;United Kingdom;;
1942 (UK) (1986) [a1];0;Shooter;1986;0;11285;United Kingdom;;
1942 (UK) (1986) [a2];0;Shooter;1986;0;11285;United Kingdom;;
1943 & Action Fighter & Activator & Amstra' Dames (F);0;Compilation;????;0;26502;France;;
1943 & Commando & Green Beret;0;Compilation;????;0;26503;Unknown;;
1943 & Daley Thompson's Decathlon & Titus Classiques I (F) & Vies+ (F);0;Compilation;????;0;26504;France;;
1943 & Venom Strikes Back;0;Compilation;????;0;26505;Unknown;;
1943 (UK) (1988);0;Shooter;1988;0;11286;United Kingdom;;
1943 (UK) (1988) [a1];0;Shooter;1988;0;11286;United Kingdom;;
1943 (UK) (1988) [a2];0;Shooter;1988;0;11286;United Kingdom;;
1943 (UK) (1988) [a3];0;Shooter;1988;0;11286;United Kingdom;;
2 Player Super League (UK) (19xx);0;Soccer;1989;0;26497;United Kingdom;;
20000 Avant J.C. (F) (1987);0;Action;1987;0;11287;France;;
20000 Avant J.C. (F) (1987) [f1][t1];0;Action;1987;0;11287;France;;
20000 Lieues Sous Les Mers (F) (1988) (Disk 1 of 2);0;Adventure;1988;0;25232;France;;
20000 Lieues Sous Les Mers (F) (1988) (Disk 1 of 2) (CPM);0;Adventure;1988;0;25232;France;;
