007 - Licence to Kill;0;Action;1989;0;17286;Unknown;;
10th Frame [cr Blue Adept];0;Bowling;1987;48d00935;15325;Unknown;;
1943;0;Shooter;1987;6b867268;15326;Unknown;;
1943 [cr BCS];0;Shooter;1987;b4d26c67;15326;Unknown;;
1943 [cr Replicants][m Atariforce];0;Shooter;1987;1cbb01df;15326;Unknown;;
1st Division Manager [m EMT][b];0;Soccer;1991;cc8ff2ad;16247;Unknown;;
20000 Leagues Under The Sea [cr Big 4];0;Adventure;1988;439e3918;15327;Unknown;;
20000 Lieues Sous Les Mers [m Atariforce];0;Adventure;1988;ef94c6aa;15327;Unknown;;
20000 Mellen Unter Dem Meer (De)[cr EMT];0;Adventure;1988;3ad52952;15327;Germany;;
221B Baker Street;0;Board game;????;0;15328;Unknown;;
3 Card Brag;0;Cards;????;0;22158;Unknown;;
3-D Soccer Link Pack;0;Soccer;1992;0;25160;Unknown;;
3D Construction Kit, The - Featuring Freescape II;0;Software;1991;0;25115;Unknown;;
3D Pool;0;Pool;1989;0;17234;Unknown;;
5th Gear;0;Action;????;0;18295;Unknown;;
8-Ball;0;Pool;1986;0;16324;Unknown;;
9 Lives;0;Platform;1990;0;19354;Unknown;;
A Froggy Day in London Town;0;Arcade;????;0;19043;Unknown;;
A La Poursuite de Carmen Sandiego dans le Monde (Fr)[cr Replicants - ST Amigos];0;Puzzle;1991;5b0c0317;15329;France;;
A Mind Forever Voyaging;0;Adventure;1985;0;18482;Unknown;;
A Question of Scruples - The Computer Edition;0;Quiz;1987;0;17185;Unknown;;
A320 Airbus [cr Cynix];0;Flight simulator;1991;cac7c929;15330;Unknown;;
AAARGH!;0;Action;1989;0;18613;Unknown;;
Abombinaball;0;Arcade;1992;0;16219;Unknown;;
Academy;0;Adventure;1987;0;17214;Unknown;;
Ace Invaders;0;Shooter;1988;0;18797;Unknown;;
Action Fighter;0;Racing;1989;0;17219;Unknown;;
Action Service;0;Action;1988;0;18339;Unknown;;
Addams Family [cr ICS];0;Platform;1992;4a642f61;15331;Unknown;;
Addictaball;0;Breakout;????;0;17084;Unknown;;
Advanced Destroyer Simulator;0;Action;1990;0b049bd2;15332;Unknown;;
Advanced Destroyer Simulator (Fr)[cr Empire];0;Action;1990;33b16e1e;15332;France;;
Advanced Fruit Machine Simulator;0;Slot machine;1987;0;24908;Unknown;;
Advanced Rugby Simulator [cr X-Factor][m Atariforce];0;Rugby;1988;fb5eca33;17073;Unknown;;
Advanced Ski Simulator;0;Skiing;1988;0;22371;Unknown;;
Advantage Tennis;0;Tennis;1992;0;28883;Unknown;;
Adventure Quest;0;Adventure;1986;0;25139;Unknown;;
Adventures of Quik & Silva, The;0;Platform;1991;0;28840;Unknown;;
Adventures of Robin Hood, The (M4)[cr Elite];0;Adventure;1991;da3116eb;15333;Unknown;;
Adventures of Robin Hood, The (M4)[cr Elite][a];0;Adventure;1991;af357944;15333;Unknown;;
African Raiders-01 [cr The Bladerunners];0;Racing;1988;e4991634;18685;Unknown;;
Afrika Korps;0;Strategy;????;0;16220;Unknown;;
After The War [cr Replicants](Disk 1 of 2);0;Action;1989;5e9d31e9;15334;Unknown;;
After The War [cr Replicants](Disk 2 of 2);0;Action;1989;cc80e718;15334;Unknown;;
Afterburner;0;Shooter;1988;2ed0f4ca;15335;Unknown;;
Age;0;Spaceship;????;0;15336;Unknown;;
Air Bucks [cr Cynix][One Disk];0;Strategy;1992;9d42003a;15337;Unknown;;
Airball [cr 42-Crew];0;Action;1989;6341ca28;15338;Unknown;;
Airborne Ranger;0;Action;1989;0;17259;Unknown;;
Albedo;0;Action;1988;0;18326;Unknown;;
Alcatraz;0;Action;1992;0;16221;Unknown;;
Alf - The First Adventure;0;Arcade;1988;0;16222;Unknown;;
Alien Blockade;0;Puzzle;????;0;28881;Unknown;;
Alien Storm [cr Elite][t][b];0;Action;1991;aae9f00c;15339;Unknown;;
Alien Syndrome [One Disk];0;Action;1987;396e1925;15340;Unknown;;
Alpha Waves;0;Arcade;1990;0;28783;Unknown;;
Alphamax;0;Shooter;????;0;17237;Unknown;;
Altair;0;Shooter;1987;0;16325;Unknown;;
Alternate Reality - The City v2.0;0;Adventure;1986;5db664d8;15341;Unknown;;
Amazing Spider-Man, The;0;Action;1990;0;19383;Unknown;;
Amazing Spider-Man, The and Captain America in Doctor Doom's Revenge!;0;Action;????;0;18620;Unknown;;
Ammotrax;0;Shooter;????;0;18294;Unknown;;
Anarchy;0;Shooter;1990;0;18818;Unknown;;
Ancient Games;0;Sports;????;0;27767;Unknown;;
Andelos 68000 Assembler SEKA;0;Software;????;0;18856;Unknown;;
Angel Nieto Pole 500;0;Moto racing;????;0;17775;Unknown;;
Animal Kingdom;0;Software;1986;0;18806;Unknown;;
Annihilator;0;Shooter;1992;0;16223;Unknown;;
Another World (Fr)[cr Elite](Disk 1 of 2);0;Adventure;1991;db75920b;15342;France;;
Another World (Fr)[cr Elite](Disk 2 of 2);0;Adventure;1991;523373ce;15342;France;;
Another World (Fr)[cr MCA](Disk 1 of 2);0;Adventure;1991;e2bf614c;15342;France;;
