1941 - Counter Attack (J);9042;Shooter;1990;1941j;602;Japan;;
1941 - Counter Attack (World);0;Shooter;1990;1941;9042;International;;
Area 88 (J);9071;Shooter;1989;area88;18206;Japan;;
Cadillacs and Dinosaurs (Hack);9043;Fighter;1993;dinoh;1381;Unknown;;
Cadillacs and Dinosaurs (US 930201);9043;Fighter;1993;dinou;2987;USA;;
Cadillacs and Dinosaurs (World 930201);0;Fighter;1993;dino;9043;International;;
Cadillacs Kyouryuu-Shinseiki (J);9043;Fighter;????;dinoj;18230;Japan;;
Capcom World 2 (J);0;Quiz;1992;cworld2j;9044;Japan;;
Captain Commando (J);9045;Fighter;1991;captcomj;3088;Japan;;
Captain Commando (US 910928);9045;Fighter;1991;captcomu;4606;USA;;
Captain Commando (World 911014);0;Fighter;1991;captcomm;9045;International;;
Carrier Air Wing (US 901012);9046;Shooter;1990;cawingu;5270;USA;;
Carrier Air Wing (World 901012);0;Shooter;1990;cawing;9046;International;;
Chiki Chiki Boys (J);9053;Action;1990;chikij;18234;Japan;;
Dai Makai-Mura (J);9049;Action;1988;daimakai;18247;Japan;;
Dynasty Wars (World);9067;Fighter;1989;dynwar;21925;International;;
Final Fight (Japan set 1);9047;Fighter;1989;ffightj;5600;Japan;;
Final Fight (Japan set 2);9047;Fighter;1989;ffightj1;5764;Japan;;
Final Fight (US 900112);9047;Fighter;1989;ffightu;5773;USA;;
Final Fight (World);0;Fighter;1989;ffight;9047;International;;
Forgotten Worlds (US);0;Shooter;1988;forgottn;9048;USA;;
Ghouls'n Ghosts (US);9049;Action;1988;ghoulsu;6563;USA;;
Ghouls'n Ghosts (World);0;Action;1988;ghouls;9049;International;;
Knights of the Round (Hack);9050;Fighter;1991;knightsh;7057;Unknown;;
Knights of the Round (J);9050;Fighter;1991;knightsj;7304;Japan;;
Knights of the Round (World 911127);0;Fighter;1991;knights;9050;International;;
Lost Worlds (J);9048;Shooter;1988;lostwrld;19075;Japan;;
Magic Sword (J);9051;Action;1990;mswordj;19191;Japan;;
Magic Sword - Heroic Fantasy (US 900725);9051;Action;1990;mswordu;7997;USA;;
Magic Sword - Heroic Fantasy (World 900623);9051;Action;1990;mswordr1;8500;International;;
Magic Sword - Heroic Fantasy (World 900725);0;Action;1990;msword;9051;International;;
Mega Man - The Power Battle (CPS1 Asia 951006);0;Fighting;1995;megaman;9052;Unknown;;
Mega Twins (World 900619);0;Action;1990;mtwins;9053;International;;
Mercs (US 900302);9054;Action;1990;mercsu;19626;USA;;
Mercs (US 900608);9054;Action;1990;mercsua;17646;USA;;
Mercs (World 900302);0;Action;1990;mercs;9054;International;;
