1944 - The Loop Master (J);16294;Shooter;2000;1944j;20556;Japan;;
1944 - The Loop Master (US 000620);0;Shooter;2000;1944;16294;USA;;
19XX - The War Against Destiny (Asia 951207);9075;Shooter;1996;19xxa;10732;Asia;;
19XX - The War Against Destiny (Hispanic 951218);9075;Shooter;1996;19xxh;9136;Spain;;
19XX - The War Against Destiny (Japan 951207);9075;Shooter;1996;19xxjr1;20483;Japan;;
19XX - The War Against Destiny (Japan 951225);9075;Shooter;1996;19xxj;20484;Japan;;
19XX - The War Against Destiny (US 951207);0;Shooter;1996;19xx;9075;USA;;
Alien vs. Predator (Asia 940520);9076;Fighter;1994;avspa;20485;Asia;;
Alien vs. Predator (Euro 940520);0;Fighter;1994;avsp;9076;Europe;;
Alien vs. Predator (Hispanic 940520);9076;Fighter;1994;avsph;27119;Spain;;
Alien vs. Predator (J);9076;Fighter;1994;avspj;20486;Japan;;
Alien vs. Predator (US 940520);9076;Fighter;1994;avspu;20487;USA;;
Armored Warriors (Asia 940920);9077;Fighter;1994;armwara;20488;Asia;;
Armored Warriors (Euro 941011);9077;Fighter;1994;armwar;20489;Europe;;
Armored Warriors (US 941024);0;Fighter;1994;armwaru;9077;USA;;
Battle Circuit (Asia 970319);9078;Fighter;1997;batcira;20490;Asia;;
Battle Circuit (Euro 970319);0;Fighter;1997;batcir;9078;Europe;;
Battle Circuit (J);9078;Fighter;1997;batcirj;20491;Japan;;
Capcom Sports Club (Asia 970722);9079;Sports;1997;cscluba;20492;Asia;;
Capcom Sports Club (Euro 970722);0;Sports;1997;csclub;9079;Europe;;
Capcom Sports Club (Hispanic 970722);9079;Sports;1997;csclubh;20493;Spain;;
Capcom Sports Club (J);9079;Sports;1997;csclubj;20494;Japan;;
Cyberbots - Fullmetal Madness (J);9080;Fighting;1995;cybotsj;20495;Japan;;
Cyberbots - Fullmetal Madness (US 950424);0;Fighting;1995;cybots;9080;USA;;
Darkstalkers - The Night Warriors (Asia 940705);9098;Fighting;1994;dstlka;18542;Asia;;
Darkstalkers - The Night Warriors (Euro 940705);9098;Fighting;1994;dstlk;18542;Europe;;
Darkstalkers - The Night Warriors (US 940705);9098;Fighting;1994;dstlkur1;18542;USA;;
Darkstalkers - The Night Warriors (US 940818);9098;Fighting;1994;dstlku;18542;USA;;
Dimahoo (US 000121);0;Shooter;2000;dimahoo;15738;USA;;
Dungeons & Dragons - Shadow over Mystara (Asia 960619);9081;Fighter;1996;ddsoma;20496;Asia;;
Dungeons & Dragons - Shadow over Mystara (Euro 960209);9081;Fighter;1996;ddsomr1;20497;Europe;;
Dungeons & Dragons - Shadow over Mystara (Euro 960619);0;Fighter;1996;ddsom;9081;Europe;;
Dungeons & Dragons - Shadow over Mystara (Japan 960206);9081;Fighter;1996;ddsomjr1;20498;Japan;;
Dungeons & Dragons - Shadow over Mystara (Japan 960619);9081;Fighter;1996;ddsomj;20499;Japan;;
Dungeons & Dragons - Shadow over Mystara (US 960209);9081;Fighter;1996;ddsomur1;20500;USA;;
