007 - The World is Not Enough (E) (M3) [!];0;FPS;????;0;6424;Europe;;
007 - The World is Not Enough (U) [!];0;FPS;????;0;6424;USA;;
1080 Snowboarding (E) (M4) [!];0;Snowboarding;1998;0;6088;Europe;;
1080 Snowboarding (JU) [!];0;Snowboarding;1998;0;6088;International;;
64 Oozumou (J) [!];0;Sumo;1997;0;6303;Japan;;
64 Oozumou 2 (J) [!];0;Sumo;1998;0;6304;Japan;;
64 Trump Collection - Alice no Wakuwaku Trump World (J) [!];0;Cards;1998;0;6094;Japan;;
AeroFighters Assault (E) (M3) [!];0;Aerial fighting;1998;0;6090;Europe;;
AeroFighters Assault (U) [!];0;Aerial fighting;1998;0;6090;USA;;
AeroGauge (E) (M3) [!];0;Racing;1998;0;6091;Europe;;
AeroGauge (J) (V1.1) [!];0;Racing;1998;0;6091;Japan;;
AeroGauge (U) [!];0;Racing;1998;0;6091;USA;;
AI Shougi 3 (J) [!];0;Puzzle;1998;0;16498;Japan;;
Aidyn Chronicles - The First Mage (E) [!];0;RPG;2001;0;6092;Europe;;
Aidyn Chronicles - The First Mage (U) [!];0;RPG;2001;0;6092;USA;;
Airboarder 64 (E) [!];0;Skateboarding;1998;0;6093;Europe;;
Airboarder 64 (J) [!];0;Skateboarding;1998;0;6093;Japan;;
Akumajou Dracula Mokushiroku - Real Action Adventure (J) [!];6131;Action;1999;0;18938;Japan;;
Akumajou Dracula Mokushiroku Gaiden - Legend of Cornell (J) [!];6132;Action;1999;0;18939;Japan;;
All Star Tennis '99 (E) (M5) [!];0;Tennis;1999;0;6095;Europe;;
All Star Tennis '99 (U) [!];0;Tennis;1999;0;6095;USA;;
All-Star Baseball '99 (E) [!];0;Baseball;1998;0;6097;Europe;;
All-Star Baseball '99 (U) [!];0;Baseball;1998;0;6097;USA;;
All-Star Baseball 2000 (E) [!];0;Baseball;1999;0;16499;Europe;;
All-Star Baseball 2000 (U) [!];0;Baseball;1999;0;16499;USA;;
All-Star Baseball 2001 (U) [!];0;Baseball;2000;0;6096;USA;;
Armorines - Project S.W.A.R.M. (E) [!];0;FPS;1999;0;6098;Europe;;
Armorines - Project S.W.A.R.M. (G) [!];0;FPS;1999;0;6098;Germany;;
Armorines - Project S.W.A.R.M. (U) [!];0;FPS;1999;0;6098;USA;;
Army Men - Air Combat (U) [!];0;Action;2000;0;6099;USA;;
Army Men - Sarge's Heroes (E) (M3) [!];0;Action;1999;0;6100;Europe;;
Army Men - Sarge's Heroes (U) [!];0;Action;1999;0;6100;USA;;
Army Men - Sarge's Heroes 2 (U) [!];0;Action;2000;0;6101;USA;;
Asteroids Hyper 64 (U) [!];0;Shooter;1999;0;6102;USA;;
Automobili Lamborghini (E) [!];0;Racing;1997;0;6103;Europe;;
Automobili Lamborghini (U) [!];0;Racing;1997;0;6103;USA;;
Baku Bomberman (J) [!];6122;Arcade;1997;0;18948;Japan;;
Baku Bomberman 2 (J) [!];6123;Arcade;1999;0;18949;Japan;;
Bakuretsu Muteki Bangai-O (J) [!];0;Shooter;1999;0;17021;Japan;;
Bakushou Jinsei 64 - Mezase! Resort Ou (J) [!];0;Board game;1998;0;6104;Japan;;
Banjo to Kazooie no Daibouken (J) [!];6105;Platform;1998;0;18950;Japan;;
Banjo to Kazooie no Daibouken 2 (J) [!];6106;Platform;2000;0;18941;Japan;;
Banjo-Kazooie (E) (M3) [!];0;Platform;1998;0;6105;Europe;;
Banjo-Kazooie (U) [!];0;Platform;1998;0;6105;USA;;
Banjo-Tooie (A) [!];0;Platform;2000;0;6106;Australia;;
Banjo-Tooie (E) [!];0;Platform;2000;0;6106;Europe;;
Banjo-Tooie (U) [!];0;Platform;2000;0;6106;USA;;
Bass Hunter 64 (E) [!];0;Fishing;1999;0;6107;Europe;;
Bass Rush - ECOGEAR PowerWorm Championship (J);0;Fishing;2000;0;6108;Japan;;
Bass Tsuri No. 1 - Shigesato Itoi's Bass Fishing (J) [!];0;Fishing;2000;0;6109;Japan;;
Bassmasters 2000 (U) [!];0;Fishing;1999;0;6110;USA;;
Batman Beyond - Return of the Joker (U) [!];6111;Action;2000;0;18942;USA;;
Batman of the Future - Return of the Joker (E) (M3) [!];0;Action;2000;0;6111;Europe;;
BattleTanx (U) [!];0;Action;1999;0;6112;USA;;
BattleTanx - Global Assault (E) (M3) [!];0;Action;1999;0;6113;Europe;;
BattleTanx - Global Assault (U) [!];0;Action;1999;0;6113;USA;;
Battlezone - Rise of the Black Dogs (U) [!];0;Action;2000;0;6114;USA;;
Beetle Adventure Racing! (E) (M3) [!];0;Racing;1999;0;6116;Europe;;
Beetle Adventure Racing! (J) [!];0;Racing;1999;0;6116;Japan;;
Beetle Adventure Racing! (U) (M3) [!];0;Racing;1999;0;6116;USA;;
Big Mountain 2000 (U) [!];0;Skiing;2000;0;6117;USA;;
Bio F.R.E.A.K.S. (E) [!];0;Fighting;1998;0;6118;Europe;;
Bio F.R.E.A.K.S. (U) [!];0;Fighting;1998;0;6118;USA;;
Blast Corps (E) [!];0;Action;1997;0;6119;Europe;;
Blast Corps (U) (V1.0) [!];0;Action;1997;0;6119;USA;;
Blast Corps (U) (V1.1) [!];0;Action;1997;0;6119;USA;;
Blast Dozer (J) [!];6119;Action;????;0;18944;Japan;;
Blues Brothers 2000 (E) (M6) [!];0;Platform;1999;0;6120;Europe;;
Blues Brothers 2000 (U) [!];0;Platform;1999;0;6120;USA;;
Body Harvest (E) (M3) [!];0;Action;1998;0;6121;Europe;;
Body Harvest (U) [!];0;Action;1998;0;6121;USA;;
Bokujou Monogatari 2 (J) [!];6199;Adventure;1999;0;18945;Japan;;
Bomberman 64 (E) [!];0;Arcade;1997;0;6122;Europe;;
Bomberman 64 (U) [!];0;Arcade;1997;0;6122;USA;;
Bomberman 64 - Arcade Edition (J);0;Arcade;2001;0;24440;Japan;;
Bomberman 64 - The Second Attack! (U) [!];0;Arcade;1999;0;6123;USA;;
Bomberman Hero (E) [!];0;Platform;1998;0;6124;Europe;;
Bomberman Hero (J) [!];0;Platform;1998;0;6124;Japan;;
Bomberman Hero (U) [!];0;Platform;1998;0;6124;USA;;
Bottom of the 9th (U) [!];0;Baseball;1999;0;6125;USA;;
Brunswick Circuit Pro Bowling (U) [!];0;Bowling;1999;0;17022;USA;;
Buck Bumble (E) (M5) [!];0;Shooter;1998;0;6126;Europe;;
Buck Bumble (J) [!];0;Shooter;1998;0;6126;Japan;;
Buck Bumble (U) [!];0;Shooter;1998;0;6126;USA;;
Bug's Life, A (E) [!];0;Platform;1999;0;6089;Europe;;
Bug's Life, A (F) [!];0;Platform;1999;0;6089;France;;
Bug's Life, A (G) [!];0;Platform;1999;0;6089;Germany;;
Bug's Life, A (U) [!];0;Platform;1999;0;6089;USA;;
Bug's Life, A (U) [a1][!];0;Platform;1999;0;6089;USA;;
Bust-A-Move '99 (U) [!];0;Puzzle;1998;0;6127;USA;;
Bust-A-Move 2 - Arcade Edition (E) [!];0;Puzzle;1998;0;6128;Europe;;
Bust-A-Move 2 - Arcade Edition (U) [!];0;Puzzle;1998;0;6128;USA;;
Bust-A-Move 3 DX (E) [!];6127;Puzzle;1998;0;18946;Europe;;
California Speed (U) [!];0;Racing;1998;0;6129;USA;;
Carmageddon 64 (E) (M4-Ger) [!];0;Racing;2000;0;6130;Europe;;
Carmageddon 64 (E) (M4-Ita) [!];0;Racing;2000;0;6130;Europe;;
Carmageddon 64 (U) [!];0;Racing;2000;0;6130;USA;;
