2020 Super Baseball (set 1);0;Baseball;1991;2020bb;4265;Unknown;;
2020 Super Baseball (set 2);4265;Baseball;1991;2020bbh;20577;Unknown;;
3 Count Bout / Fire Suplex;0;Wrestling;1993;3countb;4266;Unknown;;
Aero Fighters 2 / Sonic Wings 2;0;Shooter;1994;sonicwi2;4267;Unknown;;
Aero Fighters 3 / Sonic Wings 3;0;Shooter;1995;sonicwi3;4268;Unknown;;
Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku;0;Fighting;1994;aodk;4269;Unknown;;
Alpha Mission II / ASO II - Last Guardian;0;Shooter;1991;alpham2;4270;Unknown;;
Andro Dunos;0;Shooter;1992;androdun;4271;Unknown;;
Art of Fighting / Ryuuko no Ken;0;Fighting;1992;aof;4272;Unknown;;
Art of Fighting 2 / Ryuuko no Ken 2;0;Fighting;1994;aof2;4273;Unknown;;
Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden;0;Fighting;1996;aof3;4274;Unknown;;
Bakatonosama Mahjong Manyuki;0;Mahjong;1991;bakatono;4275;Unknown;;
Bang Bead;0;Tennis;2000;bangbead;4276;Unknown;;
Baseball Stars 2;0;Baseball;1992;bstars2;4277;Unknown;;
Baseball Stars Professional;0;Baseball;1990;bstars;4278;Unknown;;
Battle Flip Shot;0;Sports;1998;flipshot;4279;Unknown;;
Blazing Star;0;Shooter;1998;blazstar;4280;Unknown;;
Blue's Journey / Raguy;0;Platform;1990;bjourney;4281;Unknown;;
Breakers;0;Fighting;1996;breakers;4282;Unknown;;
Breakers Revenge;0;Fighting;1998;breakrev;4283;Unknown;;
Burning Fight (set 1);0;Fighter;1991;burningf;4284;Unknown;;
Burning Fight (set 2);4284;Fighter;1991;burningh;20578;Unknown;;
Captain Tomaday;0;Shooter;1999;ctomaday;4285;Unknown;;
Chibi Maruko Chan - Maruko Deluxe Quiz (J);0;Quiz;1995;marukodq;4286;Japan;;
Columns;0;Puzzle;1990;columnsn;27227;Unknown;;
Crossed Swords;0;Fighter;1991;crsword;4287;Unknown;;
Crouching Tiger Hidden Dragon 2003;0;Fighting;2003;cthd2003;17240;Unknown;;
Cyber-Lip;0;Action;1990;cyberlip;4288;Unknown;;
Diggerman;0;Arcade;1999;diggerma;4289;Unknown;;
Double Dragon;0;Fighting;1995;doubledr;4290;Unknown;;
Eight Man;0;Fighter;1991;eightman;4291;Unknown;;
Far East of Eden - Kabuki Klash / Tengai Makyou - Shin Den;0;Fighting;1995;kabukikl;4307;Unknown;;
Fatal Fury - King of Fighters / Garou Densetsu - shukumei no tatakai;0;Fighting;1991;fatfury1;4292;Unknown;;
Fatal Fury 2 / Garou Densetsu 2 - arata-naru tatakai;0;Fighting;1992;fatfury2;4293;Unknown;;
Fatal Fury 3 - Road to the Final Victory / Garou Densetsu 3 - haruka-naru tatakai;0;Fighting;1995;fatfury3;4294;Unknown;;
Fatal Fury Special / Garou Densetsu Special (set 1);0;Fighting;1993;fatfursp;4295;Unknown;;
Fatal Fury Special / Garou Densetsu Special (set 2);4295;Fighting;1993;fatfursa;20579;Unknown;;
Fight Fever (set 1);0;Fighting;1994;fightfev;4296;Unknown;;
Fight Fever (set 2);4296;Fighting;1994;fightfva;20580;Unknown;;
Football Frenzy;0;Football US;1992;fbfrenzy;4297;Unknown;;
Galaxy Fight - Universal Warriors;0;Fighting;1995;galaxyfg;4298;Unknown;;
Garou - Mark of the Wolves (decrypted C);4300;Fighting;1999;garoud;27212;Unknown;;
Garou - Mark of the Wolves (prototype);4300;Fighting;1999;garoup;20581;Prototype;;
Garou - Mark of the Wolves (set 1);0;Fighting;1999;garou;4300;Unknown;;
Garou - Mark of the Wolves (set 2);4300;Fighting;1999;garouo;20582;Unknown;;
Ghost Lop;0;Puzzle;????;ghostlop;20030;Unknown;;
Ghost Pilots;0;Shooter;1991;gpilots;4301;Unknown;;
Goal! Goal! Goal!;0;Soccer;1995;goalx3;4302;Unknown;;
Gururin;0;Puzzle;1994;gururin;4303;Unknown;;
Irritating Maze, The / Ultra Denryu Iraira Bou;0;Arcade;1997;irrmaze;4304;Unknown;;
Jockey Grand Prix;0;Bets;2001;jockeygp;16550;Unknown;;
Jyanshin Densetsu - Quest of Jongmaster;0;Mahjong;1994;janshin;4306;Unknown;;
Karnov's Revenge / Fighter's History Dynamite;0;Fighting;1994;karnovr;4308;Unknown;;
King of Fighters '94, The;0;Fighting;1994;kof94;4309;Unknown;;
King of Fighters '95, The (set 1);0;Fighting;1995;kof95;4310;Unknown;;
King of Fighters '95, The (set 2);4310;Fighting;1995;kof95a;20583;Unknown;;
King of Fighters '96, The (set 1);0;Fighting;1996;kof96;4311;Unknown;;
King of Fighters '96, The (set 2);4311;Fighting;1996;kof96h;20584;Unknown;;
King of Fighters '97, The (set 1);0;Fighting;1997;kof97;4312;Unknown;;
King of Fighters '97, The (set 2);4312;Fighting;1997;kof97a;20585;Unknown;;
King of Fighters '98, The - The Slugfest / King of Fighters '98 - dream match never ends;0;Fighting;1998;kof98;4313;Unknown;;
King of Fighters '98, The - The Slugfest / King of Fighters '98 - dream match never ends (not encrypted);4313;Fighting;1998;kof98n;20586;Unknown;;
King of Fighters '99, The - Millennium Battle (earlier);4314;Fighting;1999;kof99e;20587;Unknown;;
King of Fighters '99, The - Millennium Battle (non encrypted P,decrypted C);4314;Fighting;1999;kof99nd;27209;Unknown;;
King of Fighters '99, The - Millennium Battle (not encrypted);4314;Fighting;1999;kof99n;20588;Unknown;;
King of Fighters '99, The - Millennium Battle (prototype);4314;Fighting;1999;kof99p;20589;Prototype;;
King of Fighters '99, The - Millennium Battle (set 1);0;Fighting;1999;kof99;4314;Unknown;;
King of Fighters '99, The - Millennium Battle (set 2);4314;Fighting;1999;kof99a;20590;Unknown;;
King of Fighters 2000, The;0;Fighting;2000;kof2000;4315;Unknown;;
King of Fighters 2000, The (non encrypted P,decrypted C);4315;Fighting;2000;kof2000d;27210;Unknown;;
King of Fighters 2000, The (not encrypted);4315;Fighting;2000;kof2000n;20591;Unknown;;
King of Fighters 2001, The;0;Fighting;2001;kof2001;4316;Unknown;;
King of Fighters 2002, The;0;Fighting;2002;kof2002;6398;Unknown;;
King of Fighters 2003, The;0;Fighting;2003;kof2003;19288;Unknown;;
King of the Monsters (set 1);0;Fighting;1991;kotm;4317;Unknown;;
King of the Monsters (set 2);4317;Fighting;1991;kotmh;20592;Unknown;;
King of the Monsters 2 - The Next Thing;0;Fighting;1992;kotm2;4318;Unknown;;
