1000nen Oukoku;LOG;Adventure;1986;;;
1942;CAPCOM Co., Ltd.;Action,Shooter;1987;;;
AIR;Quasar Soft;Action;1987;;;
Ashe;Quasar Soft;Platform,Shooter;1985;1;;
Balloon Fight;Hudson Soft Company, Ltd.;Action,Platform;1985;1;;
Choujikuu Yousai Macross: Countdown;Bothtec, Inc.;Shooter;1985;1;;
Digital Devil Story: Megami Tensei;Telenet;Action;1987;1;;
Door-Door;Enix;Action;1983;;;
Dragon Slayer: The Legend of Heroes;Nihon Falcom;Role-Playing;1989;;;
Dragon Slayer: The Legend of Heroes II;Nihon Falcom;Role-Playing;1992;1;;
Excitebike;Hudson Soft Company, Ltd.;Racing;1985;1;;
Fire Hawk: Thexder - The Second Contact;Game Arts;Action;1989;;;
Hydlide;T&E Soft, Inc.;Action,Role-Playing;1984;1;;
Hydlide 3: The Space Memories;T&E Soft, Inc.;Action,Role-Playing;1987;1;;
Ice Climber;Hudson Soft Company, Ltd.;Action,Platform;1985;2;1;
King Flappy;dB-Soft;Puzzle;1985;1;;
Lolita Syndrome;Enix Corporation;Horror;1983;;;
Mario Bros. Special;Westside Soft House;Platform;1984;1;;
Mugen Senshi Valis;Telenet Japan;Action;1986;;;
Mugen Senshi Valis II;Telenet Japan;Action;1989;;;
Nintendo no Golf;Hudson Soft Company, Ltd.;Sports;1985;1;;
Nintendo no Tennis;Hudson Soft Company, Ltd.;Sports;1985;2;1;
Punch Ball Mario Bros.;Hudson Soft Co., Ltd.;Platform;1984;2;1;
Shiryou Sensen 2 - War of the Dead Part 2;Victor Musical Industries;Horror;1988;1;;
Shiryou Sensen: War of the Dead: Browning no Fukkatsu;Victor Musical Industries;Action,Horror,Role-Playing;1988;1;;
Silpheed;Game Arts;Shooter;1986;1;;
Super Mario Bros. Special;Hudson Soft;Platform;1986;1;;
Super Pitfall;Pony Canyon;Platform;1986;1;;
The Scheme;Bothtec;Action,Role-Playing;1988;1;;
Thexder;Game Arts;Shooter;1985;1;;
Wibarm;Arsys Software;Action,Role-Playing;1986;1;;
XZR: Hakai no Guuzou;Telenet;Action,Role-Playing;1988;1;;
Ys II: Ancient Ys Vanished The Final Chapter;Nihon Falcom Corp.;Role-Playing;1988;1;;
Ys III: Wanderers from Ys;Nihon Falcom Corp.;Role-Playing;1989;1;;
YS: Ancient Ys Vanished;Nihon Falcom Corp;Role-Playing;1987;1;;
