15-in-1 Mega Collection - Backtracking Ten Years (J);0;Compilation;1992;0;6433;Japan;;
1941 - Counter Attack (J) (SGX);0;Shooter;1991;0;6434;Japan;;
1941 - Counter Attack (J) (SGX) [a1];0;Shooter;1991;0;6434;Japan;;
1941 - Counter Attack (J) (SGX) [a2];0;Shooter;1991;0;6434;Japan;;
1943 Kai (J);0;Shooter;1991;0;6435;Japan;;
1943 Kai (J) [a1];0;Shooter;1991;0;6435;Japan;;
1943 Kai (J) [a2];0;Shooter;1991;0;6435;Japan;;
1943 Kai (J) [a3];0;Shooter;1991;0;6435;Japan;;
1943 Kai (J) [a4];0;Shooter;1991;0;6435;Japan;;
21-Emon - Mezase Hotel Ou!! (J);0;Board game;1994;0;6436;Japan;;
5-in-1 Fami Collection - NES Collection Nr 1 (J);0;Compilation;1993;0;6437;Japan;;
6-in-1 Fami Collection - NES Collection Nr 2 (J);0;Compilation;1993;0;6438;Japan;;
Adventure Island (J);6518;Platform;1991;0;19035;Japan;;
Aero Blasters (J);0;Shooter;1990;0;6439;Japan;;
Aero Blasters (U);0;Shooter;1990;0;6439;USA;;
After Burner II (J);0;Aerial fighting;1990;0;6440;Japan;;
Air Zonk (U);0;Shooter;1990;0;6441;USA;;
Alien Crush (J);0;Pinball;1988;0;6443;Japan;;
Alien Crush (U);0;Pinball;1988;0;6443;USA;;
Ankuku Densetsu (J);6592;Action;1990;0;19036;Japan;;
Aoi Blink (J);0;Action;1990;0;6445;Japan;;
Appare Gateball (J);0;Sports;1988;0;6446;Japan;;
Armed Formation F (J);0;Shooter;1990;0;6539;Japan;;
Artist Tool (J);0;Drawing;1989;0;6447;Japan;;
Atomic Robo-Kid Special (J);0;Shooter;1990;0;6448;Japan;;
Av Poker (J);0;Cards;1992;0;6449;Japan;;
Ballistix (J);0;Arcade;1991;0;6450;Japan;;
Ballistix (U);0;Arcade;1991;0;6450;USA;;
Bari Bari Densetsu (J);0;Moto racing;1989;0;6451;Japan;;
Barunba (J);0;Shooter;1989;0;6452;Japan;;
Batman (J);0;Arcade;1989;0;6453;Japan;;
Battle Ace (J) (SGX);0;Shooter;1989;0;6454;Japan;;
Battle Lode Runner (J);0;Arcade;1993;0;6455;Japan;;
Battle Royale (U);0;Wrestling;1990;0;6456;USA;;
Be Ball (J);6480;Arcade;1990;0;19037;Japan;;
Be Ball (Tai Sang Version) (J);6480;Arcade;1990;0;19037;Japan;;
Benkei Gaiden (J);0;RPG;1989;0;6457;Japan;;
Benkei Gaiden (J) [a1];0;RPG;1989;0;6457;Japan;;
Bikkuriman World (J);0;Adventure;1987;0;6744;Japan;;
Bikkuriman World (J) [a1];0;Adventure;1987;0;6744;Japan;;
Bikkuriman World (J) [a2];0;Adventure;1987;0;6744;Japan;;
Blazing Lazers (U);0;Shooter;1989;0;6458;USA;;
Blodia (J);6723;Puzzle;????;0;19038;Japan;;
Bloody Wolf (U);0;Action;1989;0;6459;USA;;
Body Conquest II (J);0;RPG;????;0;6460;Japan;;
Bomberman '93 (J);0;Arcade;1992;0;6461;Japan;;
Bomberman '93 (U);0;Arcade;1992;0;6461;USA;;
Bomberman '93 Special (J) [!];0;Arcade;1992;0;6462;Japan;;
Bomberman '94 (J);0;Arcade;1993;0;6463;Japan;;
Bomberman (J);0;Arcade;1990;0;6464;Japan;;
Bomberman (J) [p1];0;Arcade;1990;0;6464;Pirate;;
Bomberman (U);0;Arcade;1990;0;6464;USA;;
Bomberman Users Battle (J) [!];0;Arcade;1990;0;6465;Japan;;
Bonk III - Bonk's Big Adventure (U);0;Platform;1993;0;6466;USA;;
Bonk's Adventure (U);0;Platform;1990;0;6467;USA;;
Bonk's Revenge (U);0;Platform;1991;0;6468;USA;;
Bouken Danshaku Don - The Lost Sunheart (J);0;Shooter;1992;0;6469;Japan;;
Boxy Boy (U);0;Puzzle;1990;0;6470;USA;;
Bravoman (U);0;Action;1990;0;6471;USA;;
Break In (J);0;Pool;1989;0;6472;Japan;;
Bubblegum Crash! - Knight Sabers 2034 (J);0;Adventure;1991;0;6473;Japan;;
Bubblegum Crash! - Knight Sabers 2034 (J) [a1];0;Adventure;1991;0;6473;Japan;;
Bullfight - Ring no Hasha (J);0;Boxing;1989;0;6474;Japan;;
Burning Angels (J);0;Shooter;1990;0;6475;Japan;;
Busou Keiji Cyber Cross (J);0;Action;1989;0;6493;Japan;;
Cadash (J);0;Action;1991;0;6476;Japan;;
Cadash (U);0;Action;1991;0;6476;USA;;
Champion Wrestler (J);0;Wrestling;1990;0;6477;Japan;;
Champions Forever Boxing (U);0;Boxing;1991;0;6478;USA;;
Chew Man Fu (U);0;Arcade;1990;0;6480;USA;;
Chibi Maruko-Chan Quiz de Pihyara (J);0;Quiz;1991;0;6481;Japan;;
Chikuden Yatoubei - Kubikiri Yakata Yori (J);0;Adventure;1990;0;6482;Japan;;
Chikuden Yatoubei - Kubikiri Yakata Yori (J) [a1];0;Adventure;1990;0;6482;Japan;;
China Warrior (U);0;Fighting;1989;0;6483;USA;;
Chouzetsu Rinjin Berabou Man (J);6471;Action;1990;0;19039;Japan;;
Circus Lido (J);0;Arcade;1991;0;6484;Japan;;
City Hunter (J);0;Action;1989;0;6485;Japan;;
Columns (J);0;Puzzle;1991;0;6488;Japan;;
Coryoon - Child of Dragon (J);0;Shooter;1991;0;6489;Japan;;
Coryoon - Child of Dragon (J) [a1];0;Shooter;1991;0;6489;Japan;;
Cratermaze (U);0;Arcade;1990;0;6490;USA;;
Cross Wiber - Cyber Combat Police (J);0;Action;1990;0;6491;Japan;;
Cyber Core (J);0;Shooter;1990;0;6492;Japan;;
Cyber Core (J) [a1];0;Shooter;1990;0;6492;Japan;;
Cyber Core (J) [a2];0;Shooter;1990;0;6492;Japan;;
Cyber Core (U);0;Shooter;1990;0;6492;USA;;
Cyber Dodgeball (J);0;Sports;1992;0;6494;Japan;;
Cyber Knight (J);0;Adventure;1990;0;6495;Japan;;
Daichikun Crisis (J);0;Adventure;????;0;6497;Japan;;
