1552 Tenka Dairan (J);0;Strategy;1993;0;22472;Japan;;
3x3 Eyes - Sanjiyan Hensei (J);0;Adventure;1994;0;22473;Japan;;
4 in 1 Super CD (U);0;Compilation;1993;0;22474;USA;;
A. III (J);0;Strategy;1993;0;22475;Japan;;
Addams Familly, The (J);0;Platform;1992;0;22820;Japan;;
Advanced Variable Geo (J);0;Fighting;1994;0;22476;Japan;;
Adventure Quiz - Capcom World & Hatena no Daibouken (J);0;Quiz;1992;0;22477;Japan;;
Ai Chou Aniki (J);0;Fighting;1995;0;22478;Japan;;
Akumajou Dracula X - Chi No Rondo (J);0;Action;1993;0;22479;Japan;;
Alshark (J);0;RPG;1994;0;22480;Japan;;
Ane-San (J);0;Adventure;1995;0;22482;Japan;;
Angels II - Holy Night (J);0;Adventure;????;0;22483;Japan;;
Aoki Ookami to Shiroki Mejika (J);0;Strategy;1993;0;22484;Japan;;
Arunamu no Kiba - Juuzoku Juuni Shinto Densetsu (J);0;RPG;1994;0;22485;Japan;;
Asuka 120% Maxima Burning Fest (J);0;Fighting;1995;0;13920;Japan;;
Atlas, The - Renaissance Voyager (J);0;Adventure;1994;0;22821;Japan;;
Aurora Quest Otaku no Seiza (J);0;RPG;1993;0;19426;Japan;;
AV Tanjo (J);0;Adventure;1995;0;22487;Japan;;
Avenger (J);0;Shooter;1990;0;22488;Japan;;
Babel (J);0;RPG;1992;0;22489;Japan;;
Baby Jo - The Super Hero (J);0;Platform;1992;0;22490;Japan;;
Bakuden Unbalanced Zone (J);0;Adventure;1994;0;22491;Japan;;
Bakuretsu Hunter - Duo Comic (J);0;Adventure;1994;0;22492;Japan;;
Bakushou Yoshimoto no Shinkigeki (J);0;Platform;1994;0;22493;Japan;;
Basted (J);0;Adventure;1994;0;22494;Japan;;
Battle Shanghai - Dragon's Eye (J);0;Puzzle;1992;0;22559;Japan;;
Battlefield '94 in Tokyo Dome (J);0;Wrestling;1994;0;22495;Japan;;
Bazaru Degozaru no Game Degozaru (J);0;Arcade;1996;0;22496;Japan;;
Beyond Shadowgate (U);0;Adventure;1993;0;22497;USA;;
Bikini Girls (U);0;Other;????;0;22498;USA;;
Bikkuriman Daijikai (J);0;Arcade;1988;0;22499;Japan;;
Bishoujo Jyanshi Idol Pai (J);0;Mahjong;????;0;22503;Japan;;
Bishoujo Senshi Sailor Moon (J);0;Adventure;1994;0;22500;Japan;;
Bishoujo Senshi Sailor Moon Collection (J);0;Arcade;1994;0;22501;Japan;;
Black Hole Assault (J);0;Action;1993;0;22502;Japan;;
Blood Gear (J);0;Action;1994;0;22504;Japan;;
Bomberman '94 Special Version (PromoCD);0;Arcade;1994;0;22505;Unknown;;
Bomberman's Panic Bomber (J);0;Puzzle;1994;0;13921;Japan;;
Bonanza Bros. (J);0;Arcade;1992;0;22506;Japan;;
Bonk III - Bonk's Big Adventure (U);0;Platform;1993;0;22507;USA;;
Brandish (J);0;Adventure;1994;0;22508;Japan;;
Browning (J);0;Action;1992;0;22509;Japan;;
Builderland (J);0;Puzzle;1992;0;22513;Japan;;
Burai (J);0;RPG;1991;0;22515;Japan;;
Burai II (J);0;RPG;1992;0;22516;Japan;;
Buster Bros (U);16307;Arcade;1993;0;22514;USA;;
Cal II (J);0;Adventure;1993;0;22517;Japan;;
Cal III (J);0;Adventure;1994;0;22518;Japan;;
Camp California (U);0;Platform;1993;0;22519;USA;;
Cardangels (J);0;Cards;1994;0;22520;Japan;;
CD Battle Hikari No Yuushatachi (J);0;RPG;1993;0;22521;Japan;;
CD Bishoujo Pachinko Kyuuma Yon Shimai (J);0;Slot machine;1995;0;22522;Japan;;
CD Denjin Rockabilly Tengoku (J);0;Shooter;1993;0;13918;Japan;;
CD Hanafuda Bishoujo Gambler (J);0;Cards;1994;0;22523;Japan;;
CD Mahjong Bishoujo Tyuushinha (J);0;Mahjong;1993;0;22524;Japan;;
CD Pashisuro Bishoujo Gambler (J);0;Slot machine;1994;0;22525;Japan;;
Chiki Chiki Boys (J);0;Action;1994;0;22526;Japan;;
Chou Aniki (J);0;Shooter;1992;0;22527;Japan;;
Chou Eiyuu Densetsu - Dynastic Hero (J);0;Adventure;1994;0;22528;Japan;;
