007 - The World is Not Enough;0;FPS;????;0;22161;Unknown;;
1 on 1 (J);0;Basketball;1998;0;28605;Japan;;
100% Star;0;Management;????;0;19278;Unknown;;
3D Lemmings;0;Puzzle;1995;0;22382;Unknown;;
A-Train (U);0;Strategy;1996;0;28606;USA;;
Ace Combat;0;Aerial fighting;1995;0;16715;Unknown;;
Ace Combat 2;0;Aerial fighting;1996;0;16716;Unknown;;
Ace Combat 3;0;Aerial fighting;1999;0;16212;Unknown;;
Aces of the Air;0;Aerial fighting;2002;0;24938;Unknown;;
Actua Golf;0;Golf;????;0;722;Unknown;;
Adidas Power Soccer;0;Soccer;????;0;23115;Unknown;;
Adventures of Alundra;0;RPG;1997;0;11915;Unknown;;
Agent Armstrong (J);0;Action;????;0;11916;Japan;;
Air Combat;0;Aerial fighting;1995;0;11996;Unknown;;
All Star Boxing;0;Boxing;2002;0;22352;Unknown;;
All Star Tennis 2000;0;Tennis;????;0;15918;Unknown;;
All-Star Slammin' D-Ball;0;Sports;2003;0;28601;Unknown;;
Alone in The Dark - The New Nightmare;0;Action;????;0;11917;Unknown;;
Alundra 2;0;RPG;????;0;11918;Unknown;;
Animal Snap - Rescue Them 2 By 2;0;Puzzle;????;0;19243;Unknown;;
Animaniacs Ten Pin Alley;0;Bowling;1998;0;22341;Unknown;;
Anna Kournikova's Smash Court Tennis;0;Tennis;1999;0;16593;Unknown;;
Ape Escape;0;Action;1999;0;19246;Unknown;;
Aquanaut's Holiday;0;Action;1995;0;28604;Unknown;;
Arc The Lad;0;RPG;2001;0;16738;Unknown;;
Arc The Lad II;0;RPG;2001;0;16739;Unknown;;
Arc The Lad III;0;RPG;????;0;16740;Unknown;;
Arcade's Greatest Hits - The Atari Collection 2;0;Compilation;1997;0;28423;Unknown;;
Army Men - Air Attack;0;Action;????;0;23070;Unknown;;
Army Men - World War;0;Action;????;0;19245;Unknown;;
Army Men 3D;0;Action;1999;0;22510;Unknown;;
Assault Rigs;0;Action;1995;0;16996;Unknown;;
Asterix & Obelix contre Cesar;0;Action;????;0;16594;Unknown;;
Atelier Elie (J);0;RPG;1998;0;26955;Japan;;
Atlantis;0;Adventure;????;0;22162;Unknown;;
ATV Racers;0;Racing;2003;0;28419;Unknown;;
Azumanga Donjara Taiou (J);0;Mahjong;2002;0;26957;Japan;;
Azure Dreams;0;RPG;1998;0;16997;Unknown;;
Ballistic;11998;Puzzle;1999;0;28420;Unknown;;
Barbapapa (J);0;Arcade;2001;0;19820;Japan;;
Barbie Explorer;0;Action;2001;0;28598;Unknown;;
Bass Rise (U);0;Fishing;1999;0;28603;USA;;
Batman Forever;0;Fighter;????;0;16591;Unknown;;
Battle Arena Toshinden;0;Fighting;????;0;11919;Unknown;;
Battle Arena Toshinden 2;0;Fighting;1996;0;11920;Unknown;;
Battle Arena Toshinden 4;0;Fighting;????;0;11921;Unknown;;
Beach Volley Heroes;0;Volleyball;????;0;11922;Unknown;;
Beatmania;0;Music;2000;0;23157;Unknown;;
Bey Blade 2 (J);0;Adventure;2002;0;16680;Japan;;
Big League Slugger Baseball;0;Baseball;2003;0;19318;Unknown;;
Big ol' Bass;0;Fishing;1999;0;16595;Unknown;;
Bishi Bashi Special 2;0;Arcade;????;0;11923;Unknown;;
Blaster Master - Blasting Again;0;Action;2000;0;27039;Unknown;;
Blazing Dragons;0;Adventure;1996;0;25172;Unknown;;
Blood Linest Duel;0;Action;????;0;11924;Unknown;;
Blood Omen - Legacy of Kain;0;Action;1996;0;16998;Unknown;;
Bloody Bride (J);0;Adventure;1996;0;26989;Japan;;
Bloody Roar;0;Fighting;1998;0;16596;Unknown;;
Bloody Roar 2;0;Fighting;????;0;11925;Unknown;;
Board Game Top Shop;0;Board game;2001;0;16681;Unknown;;
Bob the Builder (E);0;Arcade;2000;0;28398;Europe;;
Bomberman;0;Arcade;1999;0;22163;Unknown;;
